,EE_FI,FI_EE,EE_LV,LV_EE,EE_FI_net_export,EE_LV_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,662.0675,0.0,155.25,-662.0675,-155.25,-817.3175,None,EE,2026-04-23
2026-01-01 01:00:00+00:00,0.0,579.89,0.0,268.25,-579.89,-268.25,-848.14,None,EE,2026-04-23
2026-01-01 02:00:00+00:00,0.0,468.09749999999997,0.0,329.25,-468.09749999999997,-329.25,-797.3475,None,EE,2026-04-23
2026-01-01 03:00:00+00:00,0.0,254.88,0.0,518.0,-254.88,-518.0,-772.88,None,EE,2026-04-23
2026-01-01 04:00:00+00:00,0.0,188.0725,0.0,516.75,-188.0725,-516.75,-704.8225,None,EE,2026-04-23
2026-01-01 05:00:00+00:00,0.0,190.075,0.0,431.0,-190.075,-431.0,-621.075,None,EE,2026-04-23
2026-01-01 06:00:00+00:00,0.0,222.7875,0.0,378.5,-222.7875,-378.5,-601.2875,None,EE,2026-04-23
2026-01-01 07:00:00+00:00,0.0,348.6825,0.0,277.75,-348.6825,-277.75,-626.4325,None,EE,2026-04-23
2026-01-01 08:00:00+00:00,0.0,332.615,0.0,402.5,-332.615,-402.5,-735.115,None,EE,2026-04-23
2026-01-01 09:00:00+00:00,0.0,265.85249999999996,0.0,455.0,-265.85249999999996,-455.0,-720.8525,None,EE,2026-04-23
2026-01-01 10:00:00+00:00,0.0,280.5575,0.0,478.0,-280.5575,-478.0,-758.5575,None,EE,2026-04-23
2026-01-01 11:00:00+00:00,0.0,335.2625,0.0,439.0,-335.2625,-439.0,-774.2625,None,EE,2026-04-23
2026-01-01 12:00:00+00:00,0.0,428.2675,0.0,338.25,-428.2675,-338.25,-766.5174999999999,None,EE,2026-04-23
2026-01-01 13:00:00+00:00,0.0,382.7,0.0,412.5,-382.7,-412.5,-795.2,None,EE,2026-04-23
2026-01-01 14:00:00+00:00,0.0,381.08,0.0,398.0,-381.08,-398.0,-779.0799999999999,None,EE,2026-04-23
2026-01-01 15:00:00+00:00,0.0,367.9175,0.0,375.0,-367.9175,-375.0,-742.9175,None,EE,2026-04-23
2026-01-01 16:00:00+00:00,0.0,360.995,0.0,382.25,-360.995,-382.25,-743.245,None,EE,2026-04-23
2026-01-01 17:00:00+00:00,0.0,387.015,0.0,340.25,-387.015,-340.25,-727.265,None,EE,2026-04-23
2026-01-01 18:00:00+00:00,0.0,506.245,0.0,162.5,-506.245,-162.5,-668.745,None,EE,2026-04-23
2026-01-01 19:00:00+00:00,0.0,432.225,0.0,243.75,-432.225,-243.75,-675.975,None,EE,2026-04-23
2026-01-01 20:00:00+00:00,0.0,351.51,0.0,204.75,-351.51,-204.75,-556.26,None,EE,2026-04-23
2026-01-01 21:00:00+00:00,0.0,312.475,0.0,149.5,-312.475,-149.5,-461.975,None,EE,2026-04-23
2026-01-01 22:00:00+00:00,0.0,290.7325,0.0,219.0,-290.7325,-219.0,-509.7325,None,EE,2026-04-23
2026-01-01 23:00:00+00:00,0.0,446.725,0.0,96.5,-446.725,-96.5,-543.225,None,EE,2026-04-23
2026-01-02 00:00:00+00:00,0.0,227.51500000000001,0.0,325.5,-227.51500000000001,-325.5,-553.015,None,EE,2026-04-23
2026-01-02 01:00:00+00:00,0.0,314.74,0.0,280.75,-314.74,-280.75,-595.49,None,EE,2026-04-23
2026-01-02 02:00:00+00:00,0.0,323.9225,0.0,305.25,-323.9225,-305.25,-629.1725,None,EE,2026-04-23
2026-01-02 03:00:00+00:00,0.0,267.0825,0.0,438.25,-267.0825,-438.25,-705.3325,None,EE,2026-04-23
2026-01-02 04:00:00+00:00,0.0,446.6575,15.0,172.75,-446.6575,-157.75,-604.4075,None,EE,2026-04-23
2026-01-02 05:00:00+00:00,0.0,929.1225,267.75,0.0,-929.1225,267.75,-661.3725,None,EE,2026-04-23
2026-01-02 06:00:00+00:00,0.0,1015.025,245.25,0.0,-1015.025,245.25,-769.775,None,EE,2026-04-23
2026-01-02 07:00:00+00:00,0.0,983.695,193.0,0.0,-983.695,193.0,-790.695,None,EE,2026-04-23
2026-01-02 08:00:00+00:00,0.0,1018.9250000000001,187.25,0.0,-1018.9250000000001,187.25,-831.6750000000001,None,EE,2026-04-23
2026-01-02 09:00:00+00:00,0.0,965.665,123.0,0.0,-965.665,123.0,-842.665,None,EE,2026-04-23
2026-01-02 10:00:00+00:00,0.0,646.5875,8.75,215.25,-646.5875,-206.5,-853.0875,None,EE,2026-04-23
2026-01-02 11:00:00+00:00,0.0,397.4425,0.0,452.25,-397.4425,-452.25,-849.6925,None,EE,2026-04-23
2026-01-02 12:00:00+00:00,0.0,354.24,0.0,504.75,-354.24,-504.75,-858.99,None,EE,2026-04-23
2026-01-02 13:00:00+00:00,0.0,359.75,0.0,534.0,-359.75,-534.0,-893.75,None,EE,2026-04-23
2026-01-02 14:00:00+00:00,0.0,547.0275,0.0,439.25,-547.0275,-439.25,-986.2775,None,EE,2026-04-23
2026-01-02 15:00:00+00:00,0.0,431.4675,0.0,534.5,-431.4675,-534.5,-965.9675,None,EE,2026-04-23
2026-01-02 16:00:00+00:00,0.0,197.0275,0.0,757.5,-197.0275,-757.5,-954.5275,None,EE,2026-04-23
2026-01-02 17:00:00+00:00,0.0,222.2275,0.0,716.0,-222.2275,-716.0,-938.2275,None,EE,2026-04-23
2026-01-02 18:00:00+00:00,0.0,440.9525,0.0,451.5,-440.9525,-451.5,-892.4525,None,EE,2026-04-23
2026-01-02 19:00:00+00:00,0.0,835.9300000000001,6.75,65.0,-835.9300000000001,-58.25,-894.1800000000001,None,EE,2026-04-23
2026-01-02 20:00:00+00:00,0.0,664.03,0.0,209.75,-664.03,-209.75,-873.78,None,EE,2026-04-23
2026-01-02 21:00:00+00:00,0.0,848.8,55.5,30.75,-848.8,24.75,-824.05,None,EE,2026-04-23
2026-01-02 22:00:00+00:00,0.0,696.1225,0.0,137.75,-696.1225,-137.75,-833.8725,None,EE,2026-04-23
2026-01-02 23:00:00+00:00,0.0,864.9275,101.0,22.0,-864.9275,79.0,-785.9275,None,EE,2026-04-23
2026-01-03 00:00:00+00:00,0.0,1004.645,206.75,0.0,-1004.645,206.75,-797.895,None,EE,2026-04-23
2026-01-03 01:00:00+00:00,0.0,855.1125,64.5,65.5,-855.1125,-1.0,-856.1125,None,EE,2026-04-23
2026-01-03 02:00:00+00:00,0.0,704.675,0.0,165.25,-704.675,-165.25,-869.925,None,EE,2026-04-23
2026-01-03 03:00:00+00:00,0.0,693.9425,0.0,123.5,-693.9425,-123.5,-817.4425,None,EE,2026-04-23
2026-01-03 04:00:00+00:00,0.0,915.515,103.25,0.0,-915.515,103.25,-812.265,None,EE,2026-04-23
2026-01-03 05:00:00+00:00,0.0,917.2950000000001,94.5,0.0,-917.2950000000001,94.5,-822.7950000000001,None,EE,2026-04-23
2026-01-03 06:00:00+00:00,0.0,1021.825,166.75,0.0,-1021.825,166.75,-855.075,None,EE,2026-04-23
2026-01-03 07:00:00+00:00,0.0,1020.75,76.0,0.0,-1020.75,76.0,-944.75,None,EE,2026-04-23
2026-01-03 08:00:00+00:00,0.0,1028.075,86.5,0.0,-1028.075,86.5,-941.575,None,EE,2026-04-23
2026-01-03 09:00:00+00:00,0.0,1015.3925,30.75,4.75,-1015.3925,26.0,-989.3925,None,EE,2026-04-23
2026-01-03 10:00:00+00:00,0.0,885.5425,0.0,104.0,-885.5425,-104.0,-989.5425,None,EE,2026-04-23
2026-01-03 11:00:00+00:00,0.0,890.925,5.5,8.25,-890.925,-2.75,-893.675,None,EE,2026-04-23
2026-01-03 12:00:00+00:00,0.0,972.6775,17.25,1.0,-972.6775,16.25,-956.4275,None,EE,2026-04-23
2026-01-03 13:00:00+00:00,0.0,925.8725,0.0,55.0,-925.8725,-55.0,-980.8725,None,EE,2026-04-23
2026-01-03 14:00:00+00:00,0.0,880.0275,0.0,157.0,-880.0275,-157.0,-1037.0275000000001,None,EE,2026-04-23
2026-01-03 15:00:00+00:00,0.0,994.8525,0.0,63.25,-994.8525,-63.25,-1058.1025,None,EE,2026-04-23
2026-01-03 16:00:00+00:00,0.0,1000.9,0.0,51.25,-1000.9,-51.25,-1052.15,None,EE,2026-04-23
2026-01-03 17:00:00+00:00,0.0,1013.75,0.0,15.5,-1013.75,-15.5,-1029.25,None,EE,2026-04-23
2026-01-03 18:00:00+00:00,0.0,1010.7,8.0,0.0,-1010.7,8.0,-1002.7,None,EE,2026-04-23
2026-01-03 19:00:00+00:00,0.0,1024.9,48.0,0.0,-1024.9,48.0,-976.9000000000001,None,EE,2026-04-23
2026-01-03 20:00:00+00:00,0.0,1016.75,50.0,0.0,-1016.75,50.0,-966.75,None,EE,2026-04-23
2026-01-03 21:00:00+00:00,0.0,1021.225,131.75,0.0,-1021.225,131.75,-889.475,None,EE,2026-04-23
2026-01-03 22:00:00+00:00,0.0,1012.925,150.25,0.0,-1012.925,150.25,-862.675,None,EE,2026-04-23
2026-01-03 23:00:00+00:00,0.0,1014.4025,182.25,0.0,-1014.4025,182.25,-832.1525,None,EE,2026-04-23
2026-01-04 00:00:00+00:00,0.0,981.0225,202.0,0.0,-981.0225,202.0,-779.0225,None,EE,2026-04-23
2026-01-04 01:00:00+00:00,0.0,1009.3599999999999,249.25,0.0,-1009.3599999999999,249.25,-760.1099999999999,None,EE,2026-04-23
2026-01-04 02:00:00+00:00,0.0,998.425,203.75,0.0,-998.425,203.75,-794.675,None,EE,2026-04-23
2026-01-04 03:00:00+00:00,0.0,1003.045,201.75,0.0,-1003.045,201.75,-801.295,None,EE,2026-04-23
2026-01-04 04:00:00+00:00,0.0,1005.8175000000001,193.0,0.0,-1005.8175000000001,193.0,-812.8175000000001,None,EE,2026-04-23
2026-01-04 05:00:00+00:00,0.0,1030.875,232.75,0.0,-1030.875,232.75,-798.125,None,EE,2026-04-23
2026-01-04 06:00:00+00:00,0.0,1026.15,296.25,0.0,-1026.15,296.25,-729.9000000000001,None,EE,2026-04-23
2026-01-04 07:00:00+00:00,0.0,1014.91,321.75,0.0,-1014.91,321.75,-693.16,None,EE,2026-04-23
2026-01-04 08:00:00+00:00,0.0,1030.875,307.5,0.0,-1030.875,307.5,-723.375,None,EE,2026-04-23
2026-01-04 09:00:00+00:00,0.0,1030.6,300.5,0.0,-1030.6,300.5,-730.0999999999999,None,EE,2026-04-23
2026-01-04 10:00:00+00:00,0.0,1027.625,340.5,0.0,-1027.625,340.5,-687.125,None,EE,2026-04-23
2026-01-04 11:00:00+00:00,0.0,1031.0,274.5,0.0,-1031.0,274.5,-756.5,None,EE,2026-04-23
2026-01-04 12:00:00+00:00,0.0,1021.675,301.25,0.0,-1021.675,301.25,-720.425,None,EE,2026-04-23
2026-01-04 13:00:00+00:00,0.0,1030.775,294.25,0.0,-1030.775,294.25,-736.5250000000001,None,EE,2026-04-23
2026-01-04 14:00:00+00:00,0.0,1020.125,262.5,0.0,-1020.125,262.5,-757.625,None,EE,2026-04-23
2026-01-04 15:00:00+00:00,0.0,1030.85,218.5,0.0,-1030.85,218.5,-812.3499999999999,None,EE,2026-04-23
2026-01-04 16:00:00+00:00,0.0,1030.575,154.0,0.0,-1030.575,154.0,-876.575,None,EE,2026-04-23
2026-01-04 17:00:00+00:00,0.0,927.1575,45.0,0.0,-927.1575,45.0,-882.1575,None,EE,2026-04-23
2026-01-04 18:00:00+00:00,0.0,575.29,0.0,152.25,-575.29,-152.25,-727.54,None,EE,2026-04-23
2026-01-04 19:00:00+00:00,0.0,443.1175,0.0,280.0,-443.1175,-280.0,-723.1175000000001,None,EE,2026-04-23
2026-01-04 20:00:00+00:00,0.0,348.4375,0.0,362.0,-348.4375,-362.0,-710.4375,None,EE,2026-04-23
