,HR_BA,BA_HR,HR_HU,HU_HR,HR_RS,RS_HR,HR_SI,SI_HR,HR_BA_net_export,HR_HU_net_export,HR_RS_net_export,HR_SI_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,1088.0,0.0,0.0,1201.5,433.0,0.0,0.0,1062.5,1088.0,-1201.5,433.0,-1062.5,-743.0,None,HR,2026-04-23
2026-01-01 01:00:00+00:00,1066.0,0.0,0.0,1206.5,414.0,0.0,0.0,931.5,1066.0,-1206.5,414.0,-931.5,-658.0,None,HR,2026-04-23
2026-01-01 02:00:00+00:00,1026.0,0.0,0.0,1188.5,380.0,0.0,0.0,839.25,1026.0,-1188.5,380.0,-839.25,-621.75,None,HR,2026-04-23
2026-01-01 03:00:00+00:00,1047.0,0.0,0.0,1127.75,367.0,0.0,0.0,879.25,1047.0,-1127.75,367.0,-879.25,-593.0,None,HR,2026-04-23
2026-01-01 04:00:00+00:00,1004.0,0.0,0.0,1079.5,329.0,0.0,0.0,752.25,1004.0,-1079.5,329.0,-752.25,-498.75,None,HR,2026-04-23
2026-01-01 05:00:00+00:00,1025.0,0.0,0.0,1113.5,314.0,0.0,0.0,759.25,1025.0,-1113.5,314.0,-759.25,-533.75,None,HR,2026-04-23
2026-01-01 06:00:00+00:00,662.0,0.0,0.0,976.25,160.0,0.0,0.0,361.25,662.0,-976.25,160.0,-361.25,-515.5,None,HR,2026-04-23
2026-01-01 07:00:00+00:00,0.0,21.0,0.0,487.25,0.0,156.0,147.0,25.0,-21.0,-487.25,-156.0,122.0,-542.25,None,HR,2026-04-23
2026-01-01 08:00:00+00:00,0.0,364.0,0.0,323.0,0.0,272.0,336.75,0.0,-364.0,-323.0,-272.0,336.75,-622.25,None,HR,2026-04-23
2026-01-01 09:00:00+00:00,0.0,220.0,0.0,483.75,0.0,185.0,264.25,0.0,-220.0,-483.75,-185.0,264.25,-624.5,None,HR,2026-04-23
2026-01-01 10:00:00+00:00,0.0,27.0,0.0,643.0,0.0,66.0,139.25,0.0,-27.0,-643.0,-66.0,139.25,-596.75,None,HR,2026-04-23
2026-01-01 11:00:00+00:00,0.0,87.0,0.0,735.0,0.0,72.0,301.0,0.0,-87.0,-735.0,-72.0,301.0,-593.0,None,HR,2026-04-23
2026-01-01 12:00:00+00:00,209.0,0.0,0.0,774.0,14.0,0.0,90.0,5.5,209.0,-774.0,14.0,84.5,-466.5,None,HR,2026-04-23
2026-01-01 13:00:00+00:00,646.0,0.0,0.0,951.0,160.0,0.0,12.75,244.5,646.0,-951.0,160.0,-231.75,-376.75,None,HR,2026-04-23
2026-01-01 14:00:00+00:00,1217.0,0.0,0.0,914.75,306.0,0.0,0.0,473.75,1217.0,-914.75,306.0,-473.75,134.5,None,HR,2026-04-23
