,HU_AT,AT_HU,HU_HR,HR_HU,HU_RO,RO_HU,HU_RS,RS_HU,HU_SI,SI_HU,HU_SK,SK_HU,HU_AT_net_export,HU_HR_net_export,HU_RO_net_export,HU_RS_net_export,HU_SI_net_export,HU_SK_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1624.62825,1201.5,0.0,726.812,0.0,534.249,0.0,93.56825,0.0,0.0,2553.18225,-1624.62825,1201.5,726.812,534.249,93.56825,-2553.18225,-1621.6812499999996,None,HU,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1475.15525,1206.5,0.0,715.48725,0.0,520.5865,0.0,150.22975,0.0,0.0,2612.07175,-1475.15525,1206.5,715.48725,520.5865,150.22975,-2612.07175,-1494.4235,None,HU,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1326.51075,1188.5,0.0,685.24425,0.0,488.8285,0.0,185.0685,0.0,0.0,2722.5045,-1326.51075,1188.5,685.24425,488.8285,185.0685,-2722.5045,-1501.3739999999998,None,HU,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1264.5675,1127.75,0.0,680.52175,0.0,457.65375,0.0,161.36675,0.0,0.0,2753.93025,-1264.5675,1127.75,680.52175,457.65375,161.36675,-2753.93025,-1591.2055,None,HU,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1164.543,1079.5,0.0,671.5295,0.0,417.93325,0.0,176.035,0.0,0.0,2726.33425,-1164.543,1079.5,671.5295,417.93325,176.035,-2726.33425,-1545.8794999999998,None,HU,2026-04-23
2026-01-01 05:00:00+00:00,0.0,947.7,1113.5,0.0,616.27325,0.0,437.80075,0.0,206.7305,0.0,0.0,2903.75875,-947.7,1113.5,616.27325,437.80075,206.7305,-2903.75875,-1477.15425,None,HU,2026-04-23
2026-01-01 06:00:00+00:00,0.0,501.56575,976.25,0.0,454.58299999999997,0.0,313.56575,0.0,294.099,0.0,0.0,2928.5035,-501.56575,976.25,454.58299999999997,313.56575,294.099,-2928.5035,-1391.5714999999998,None,HU,2026-04-23
2026-01-01 07:00:00+00:00,58.0105,92.385,487.25,0.0,152.96,2.11225,44.15625,69.36025,331.91150000000005,0.0,0.0,2223.359,-34.374500000000005,487.25,150.84775000000002,-25.203999999999994,331.91150000000005,-2223.359,-1312.92825,None,HU,2026-04-23
2026-01-01 08:00:00+00:00,299.9405,0.0,323.0,0.0,1.79775,139.445,0.00075,112.6275,365.789,0.0,0.0,1849.00375,299.9405,323.0,-137.64724999999999,-112.62675,365.789,-1849.00375,-1110.5482500000003,None,HU,2026-04-23
2026-01-01 09:00:00+00:00,225.87175,0.0,483.75,0.0,0.0,168.695,13.19175,6.39575,365.376,0.0,0.0,1810.5015,225.87175,483.75,-168.695,6.796000000000001,365.376,-1810.5015,-897.40275,None,HU,2026-04-23
2026-01-01 10:00:00+00:00,35.6295,1.29125,643.0,0.0,23.69725,4.117999999999999,105.504,0.0,347.0535,0.0,0.0,1824.8185,34.33825,643.0,19.579250000000002,105.504,347.0535,-1824.8185,-675.3435000000002,None,HU,2026-04-23
2026-01-01 11:00:00+00:00,188.298,0.0,735.0,0.0,47.08825,0.665,141.0555,0.0,422.16025,0.0,0.0,1696.81725,188.298,735.0,46.42325,141.0555,422.16025,-1696.81725,-163.88025000000016,None,HU,2026-04-23
2026-01-01 12:00:00+00:00,81.074,6.301,774.0,0.0,209.38825,0.0,194.268,0.0,355.43275,0.0,0.0,1759.9625,74.773,774.0,209.38825,194.268,355.43275,-1759.9625,-152.1005,None,HU,2026-04-23
2026-01-01 13:00:00+00:00,3.53575,374.78675,951.0,0.0,376.36,0.0,312.26925,0.0,280.42674999999997,0.0,0.0,2424.92425,-371.251,951.0,376.36,312.26925,280.42674999999997,-2424.92425,-876.1192500000002,None,HU,2026-04-23
2026-01-01 14:00:00+00:00,0.0,768.9215,914.75,0.0,608.11375,0.0,355.44725,0.0,86.1155,0.0,0.0,2969.193,-768.9215,914.75,608.11375,355.44725,86.1155,-2969.193,-1773.688,None,HU,2026-04-23
2026-01-01 15:00:00+00:00,0.0,729.65225,771.5,0.0,578.8835,0.0,254.47,0.0,50.71975,0.0,0.0,2923.03075,-729.65225,771.5,578.8835,254.47,50.71975,-2923.03075,-1997.1097499999998,None,HU,2026-04-23
2026-01-01 16:00:00+00:00,0.0,648.9525,643.25,0.0,571.744,0.0,205.40375,0.0,7.070250000000001,4.84525,0.0,2870.10425,-648.9525,643.25,571.744,205.40375,2.2250000000000005,-2870.10425,-2096.4339999999997,None,HU,2026-04-23
2026-01-01 17:00:00+00:00,0.0,543.6055,610.5,0.0,584.2135,0.0,192.61025,0.0,4.2372499999999995,3.66675,0.0,2878.79875,-543.6055,610.5,584.2135,192.61025,0.5704999999999996,-2878.79875,-2034.51,None,HU,2026-04-23
2026-01-01 18:00:00+00:00,0.0,543.59175,622.5,0.0,550.413,0.0,187.6355,0.0,25.731,0.9425,0.0,2909.1805,-543.59175,622.5,550.413,187.6355,24.788500000000003,-2909.1805,-2067.43525,None,HU,2026-04-23
2026-01-01 19:00:00+00:00,0.0,585.82825,757.5,0.0,527.9367500000001,0.0,280.99675,0.0,68.4315,0.0,0.0,3078.2495,-585.82825,757.5,527.9367500000001,280.99675,68.4315,-3078.2495,-2029.21275,None,HU,2026-04-23
2026-01-01 20:00:00+00:00,0.0,646.04125,819.0,0.0,512.50675,0.0,310.918,0.0,106.042,0.0,0.0,3075.2005,-646.04125,819.0,512.50675,310.918,106.042,-3075.2005,-1972.7749999999999,None,HU,2026-04-23
2026-01-01 21:00:00+00:00,0.0,552.6179999999999,845.5,0.0,466.37325,0.0,293.5165,0.0,177.93449999999999,0.0,0.0,3012.93525,-552.6179999999999,845.5,466.37325,293.5165,177.93449999999999,-3012.93525,-1782.2289999999998,None,HU,2026-04-23
2026-01-01 22:00:00+00:00,0.0,545.6955,982.0,0.0,517.665,0.0,373.4715,0.0,229.9575,0.0,0.0,3138.7025,-545.6955,982.0,517.665,373.4715,229.9575,-3138.7025,-1581.304,None,HU,2026-04-23
2026-01-01 23:00:00+00:00,0.0,581.641,1000.25,0.0,546.1865,0.0,390.77175,0.0,242.46275,0.0,0.0,3041.24725,-581.641,1000.25,546.1865,390.77175,242.46275,-3041.24725,-1443.21725,None,HU,2026-04-23
2026-01-02 00:00:00+00:00,0.0,481.18375,987.5,0.0,515.028,0.0,365.68875,0.0,273.41725,0.0,0.0,3053.978,-481.18375,987.5,515.028,365.68875,273.41725,-3053.978,-1393.52775,None,HU,2026-04-23
2026-01-02 01:00:00+00:00,0.0,478.231,925.75,0.0,541.20375,0.0,301.97475,0.0,264.4315,0.0,0.0,2906.24525,-478.231,925.75,541.20375,301.97475,264.4315,-2906.24525,-1351.11625,None,HU,2026-04-23
2026-01-02 02:00:00+00:00,0.0,438.00675,898.75,0.0,538.24825,0.0,273.02025,0.0,293.21,0.0,0.0,2872.7855,-438.00675,898.75,538.24825,273.02025,293.21,-2872.7855,-1307.56375,None,HU,2026-04-23
2026-01-02 03:00:00+00:00,0.0,409.94425,830.25,0.0,528.486,0.0,225.514,0.0,290.0085,0.0,0.0,2869.474,-409.94425,830.25,528.486,225.514,290.0085,-2869.474,-1405.1597500000003,None,HU,2026-04-23
2026-01-02 04:00:00+00:00,0.0,439.7145,802.0,0.0,522.184,0.0,201.1095,0.0,277.95825,0.0,0.0,2807.72575,-439.7145,802.0,522.184,201.1095,277.95825,-2807.72575,-1444.1885000000002,None,HU,2026-04-23
2026-01-02 05:00:00+00:00,0.0,604.9435,902.25,0.0,527.1767500000001,0.0,242.24225,0.0,274.3405,0.0,0.0,2899.41825,-604.9435,902.25,527.1767500000001,242.24225,274.3405,-2899.41825,-1558.3522500000001,None,HU,2026-04-23
2026-01-02 06:00:00+00:00,0.0,635.851,720.75,0.0,468.30125,0.0,153.37875,0.0,212.7255,0.0,0.0,2758.58775,-635.851,720.75,468.30125,153.37875,212.7255,-2758.58775,-1839.2832500000002,None,HU,2026-04-23
2026-01-02 07:00:00+00:00,0.0,329.548,304.0,0.0,232.9395,0.0,0.70575,94.63,205.5695,0.0,0.0,2254.28275,-329.548,304.0,232.9395,-93.92425,205.5695,-2254.28275,-1935.2459999999999,None,HU,2026-04-23
2026-01-02 08:00:00+00:00,0.0,243.35825,184.25,0.0,46.7425,40.132999999999996,0.0,215.428,207.667,0.0,0.0,1943.37375,-243.35825,184.25,6.609500000000004,-215.428,207.667,-1943.37375,-2003.6335,None,HU,2026-04-23
2026-01-02 09:00:00+00:00,0.0,270.74775,277.75,0.0,0.0,134.05675,0.0,185.378,279.57875,0.0,0.0,2089.55225,-270.74775,277.75,-134.05675,-185.378,279.57875,-2089.55225,-2122.406,None,HU,2026-04-23
