,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_CSUD_IT_SUD,IT_SUD_IT_CSUD,IT_CSUD_ME,ME_IT_CSUD,IT_CSUD_IT_CNOR_net_export,IT_CSUD_IT_SARD_net_export,IT_CSUD_IT_SUD_net_export,IT_CSUD_ME_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1771.475,224.87,0.0,0.0,887.84,0.0,51.75,-1771.475,224.87,-887.84,-51.75,-2486.195,None,IT_CSUD,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1733.2025,326.21999999999997,0.0,0.0,980.585,0.0,78.25,-1733.2025,326.21999999999997,-980.585,-78.25,-2465.8175,None,IT_CSUD,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1777.205,438.46000000000004,0.0,0.0,966.4925000000001,0.0,121.0,-1777.205,438.46000000000004,-966.4925000000001,-121.0,-2426.2375,None,IT_CSUD,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1364.46,365.845,0.0,0.0,955.735,0.0,178.75,-1364.46,365.845,-955.735,-178.75,-2133.1,None,IT_CSUD,2026-04-23
2026-01-01 04:00:00+00:00,0.0,981.2950000000001,243.695,0.0,0.0,957.045,0.0,179.5,-981.2950000000001,243.695,-957.045,-179.5,-1874.145,None,IT_CSUD,2026-04-23
2026-01-01 05:00:00+00:00,0.0,1222.0025,183.36249999999998,0.0,0.0,751.255,0.0,165.5,-1222.0025,183.36249999999998,-751.255,-165.5,-1955.395,None,IT_CSUD,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1240.755,323.1875,0.0,0.0,1177.1425,0.0,141.5,-1240.755,323.1875,-1177.1425,-141.5,-2236.21,None,IT_CSUD,2026-04-23
2026-01-01 07:00:00+00:00,120.2875,147.33249999999998,157.215,0.0,0.0,1958.3600000000001,0.0,159.25,-27.044999999999987,157.215,-1958.3600000000001,-159.25,-1987.44,None,IT_CSUD,2026-04-23
2026-01-01 08:00:00+00:00,226.83,0.8,60.85,0.0,0.0,1963.925,0.0,155.75,226.03,60.85,-1963.925,-155.75,-1832.795,None,IT_CSUD,2026-04-23
2026-01-01 09:00:00+00:00,455.06,0.0,123.095,0.0,0.0,2260.6150000000002,0.0,162.25,455.06,123.095,-2260.6150000000002,-162.25,-1844.7100000000003,None,IT_CSUD,2026-04-23
2026-01-01 10:00:00+00:00,373.5725,0.0,280.7875,0.0,0.0,2370.185,0.0,164.25,373.5725,280.7875,-2370.185,-164.25,-1880.0749999999998,None,IT_CSUD,2026-04-23
2026-01-01 11:00:00+00:00,266.775,0.0,332.3525,0.0,0.0,2584.815,0.0,162.0,266.775,332.3525,-2584.815,-162.0,-2147.6875,None,IT_CSUD,2026-04-23
