,LT_LV,LV_LT,LT_PL,PL_LT,LT_SE_4,SE_4_LT,LT_LV_net_export,LT_PL_net_export,LT_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,676.25,0.0,46.65,0.775,0.0,732.549164,676.25,45.875,-732.549164,-10.424164000000019,None,LT,2026-04-23
2026-01-01 01:00:00+00:00,787.625,0.0,100.94999999999999,0.0,0.0,732.4445955,787.625,100.94999999999999,-732.4445955,156.13040450000005,None,LT,2026-04-23
2026-01-01 02:00:00+00:00,842.0,0.0,189.85,0.0,0.0,730.6417692499999,842.0,189.85,-730.6417692499999,301.20823075,None,LT,2026-04-23
2026-01-01 03:00:00+00:00,896.125,0.0,51.2,37.2,0.0,655.59143075,896.125,14.0,-655.59143075,254.53356925000003,None,LT,2026-04-23
2026-01-01 04:00:00+00:00,780.0,0.0,3.25,55.324999999999996,0.0,630.69589225,780.0,-52.074999999999996,-630.69589225,97.22910774999991,None,LT,2026-04-23
2026-01-01 05:00:00+00:00,679.875,0.0,0.0,133.4,0.0,655.6890105,679.875,-133.4,-655.6890105,-109.21401049999997,None,LT,2026-04-23
2026-01-01 06:00:00+00:00,648.625,0.0,0.0,39.875,0.0,718.3213805,648.625,-39.875,-718.3213805,-109.57138050000003,None,LT,2026-04-23
2026-01-01 07:00:00+00:00,669.25,0.0,0.0,85.475,0.0,731.63768025,669.25,-85.475,-731.63768025,-147.86268025000004,None,LT,2026-04-23
2026-01-01 08:00:00+00:00,856.125,0.0,0.0,154.675,0.0,732.246811,856.125,-154.675,-732.246811,-30.796810999999934,None,LT,2026-04-23
2026-01-01 09:00:00+00:00,848.125,0.0,0.0,175.75,0.0,701.312851,848.125,-175.75,-701.312851,-28.937851000000023,None,LT,2026-04-23
2026-01-01 10:00:00+00:00,898.0,0.0,0.0,199.225,0.0,705.59249875,898.0,-199.225,-705.59249875,-6.817498750000027,None,LT,2026-04-23
2026-01-01 11:00:00+00:00,892.125,0.0,0.0,135.425,0.0,727.51367175,892.125,-135.425,-727.51367175,29.186328250000088,None,LT,2026-04-23
2026-01-01 12:00:00+00:00,768.0,0.0,0.0,88.9,0.0,725.72357175,768.0,-88.9,-725.72357175,-46.623571749999996,None,LT,2026-04-23
2026-01-01 13:00:00+00:00,847.875,0.0,0.0,112.325,0.0,588.66789225,847.875,-112.325,-588.66789225,146.88210774999993,None,LT,2026-04-23
2026-01-01 14:00:00+00:00,862.875,0.0,23.3,42.25,0.0,702.79794325,862.875,-18.95,-702.79794325,141.12705674999995,None,LT,2026-04-23
2026-01-01 15:00:00+00:00,863.625,0.0,157.75,0.0,0.0,729.958389,863.625,157.75,-729.958389,291.416611,None,LT,2026-04-23
2026-01-01 16:00:00+00:00,875.5,0.0,114.07499999999999,0.0,0.0,693.9502104999999,875.5,114.07499999999999,-693.9502104999999,295.62478950000013,None,LT,2026-04-23
2026-01-01 17:00:00+00:00,899.625,0.0,132.15,0.0,0.0,730.29266375,899.625,132.15,-730.29266375,301.4823362500001,None,LT,2026-04-23
2026-01-01 18:00:00+00:00,835.375,0.0,187.925,0.0,0.0,731.887207,835.375,187.925,-731.887207,291.41279299999997,None,LT,2026-04-23
2026-01-01 19:00:00+00:00,908.25,0.0,14.725000000000001,11.05,0.0,657.9436795,908.25,3.6750000000000007,-657.9436795,253.98132049999992,None,LT,2026-04-23
2026-01-01 20:00:00+00:00,826.25,0.0,19.15,75.475,0.0,652.62698375,826.25,-56.324999999999996,-652.62698375,117.29801624999993,None,LT,2026-04-23
2026-01-01 21:00:00+00:00,721.125,0.0,0.0,122.25,0.0,720.494873,721.125,-122.25,-720.494873,-121.61987299999998,None,LT,2026-04-23
2026-01-01 22:00:00+00:00,774.125,0.0,0.0,162.125,0.0,722.0020905,774.125,-162.125,-722.0020905,-110.00209050000001,None,LT,2026-04-23
2026-01-01 23:00:00+00:00,493.625,0.0,0.0,162.55,0.0,474.6169585,493.625,-162.55,-474.6169585,-143.54195850000002,None,LT,2026-04-23
