,NO_3_NO_1,NO_1_NO_3,NO_3_NO_4,NO_4_NO_3,NO_3_NO_5,NO_5_NO_3,NO_3_SE_2,SE_2_NO_3,NO_3_NO_1_net_export,NO_3_NO_4_net_export,NO_3_NO_5_net_export,NO_3_SE_2_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,261.6534125,0.0,0.0,342.47192925,461.64797775,0.0,0.0,288.368196,261.6534125,-342.47192925,461.64797775,-288.368196,92.46126499999997,None,NO_3,2026-04-23
2026-01-01 01:00:00+00:00,209.00604425,0.0,0.0,225.01030875,360.15174824999997,0.0,0.0,410.67395799999997,209.00604425,-225.01030875,360.15174824999997,-410.67395799999997,-66.52647424999998,None,NO_3,2026-04-23
2026-01-01 02:00:00+00:00,170.62364374999999,0.0,0.0,192.03757325,215.364663,0.0,0.0,582.009472,170.62364374999999,-192.03757325,215.364663,-582.009472,-388.0587385,None,NO_3,2026-04-23
2026-01-01 03:00:00+00:00,144.22974325,0.0,0.0,200.14379525,99.28559874999999,0.0,0.0,653.373218,144.22974325,-200.14379525,99.28559874999999,-653.373218,-610.00167125,None,NO_3,2026-04-23
2026-01-01 04:00:00+00:00,173.07782500000002,0.0,0.0,256.96689575,9.8546315,9.42680575,0.0,666.9669477499999,173.07782500000002,-256.96689575,0.4278257500000002,-666.9669477499999,-750.4281927499999,None,NO_3,2026-04-23
2026-01-01 05:00:00+00:00,133.3359105,0.0,0.0,281.41746224999997,0.0,77.746609,0.0,661.303651,133.3359105,-281.41746224999997,-77.746609,-661.303651,-887.1318117499999,None,NO_3,2026-04-23
2026-01-01 06:00:00+00:00,182.2771945,0.0,0.0,247.71576575,0.0,87.53541575,0.0,613.13361875,182.2771945,-247.71576575,-87.53541575,-613.13361875,-766.10760575,None,NO_3,2026-04-23
2026-01-01 07:00:00+00:00,206.07761349999998,0.0,0.0,337.81405275,0.0,102.67635200000001,0.0,615.170649,206.07761349999998,-337.81405275,-102.67635200000001,-615.170649,-849.58344025,None,NO_3,2026-04-23
2026-01-01 08:00:00+00:00,214.11631275,0.0,0.0,432.10187625000003,0.0,86.49929375,0.0,630.6367447499999,214.11631275,-432.10187625000003,-86.49929375,-630.6367447499999,-935.1216019999999,None,NO_3,2026-04-23
2026-01-01 09:00:00+00:00,266.69712849999996,0.0,0.0,613.8861475,0.0,13.754122,0.0,591.58093725,266.69712849999996,-613.8861475,-13.754122,-591.58093725,-952.52407825,None,NO_3,2026-04-23
2026-01-01 10:00:00+00:00,288.01613199999997,0.0,0.0,635.83829175,70.826286,0.0,0.0,492.06834475,288.01613199999997,-635.83829175,70.826286,-492.06834475,-769.0642185000002,None,NO_3,2026-04-23
2026-01-01 11:00:00+00:00,276.04571599999997,0.0,0.0,642.8981145,172.24289775,0.0,0.0,541.122241,276.04571599999997,-642.8981145,172.24289775,-541.122241,-735.7317417500001,None,NO_3,2026-04-23
2026-01-01 12:00:00+00:00,298.964292,0.0,0.0,690.44590925,217.93338849999998,0.0,0.0,605.83051725,298.964292,-690.44590925,217.93338849999998,-605.83051725,-779.378746,None,NO_3,2026-04-23
2026-01-01 13:00:00+00:00,300.8114815,0.0,0.0,641.2814805,322.07507,0.0,0.0,648.9005405,300.8114815,-641.2814805,322.07507,-648.9005405,-667.2954695000001,None,NO_3,2026-04-23
2026-01-01 14:00:00+00:00,299.98290975,0.0,0.0,646.10512,404.13139625,0.0,0.0,619.6009865,299.98290975,-646.10512,404.13139625,-619.6009865,-561.5918005000001,None,NO_3,2026-04-23
2026-01-01 15:00:00+00:00,299.312033,0.0,0.0,611.62784875,426.579846,0.0,0.0,669.60016,299.312033,-611.62784875,426.579846,-669.60016,-555.33612975,None,NO_3,2026-04-23
2026-01-01 16:00:00+00:00,286.38658725,0.0,0.0,471.9423045,398.15556625,0.0,0.0,656.83587175,286.38658725,-471.9423045,398.15556625,-656.83587175,-444.23602275,None,NO_3,2026-04-23
2026-01-01 17:00:00+00:00,295.1108775,0.0,0.0,629.12296875,428.8717345,0.0,0.0,515.20518975,295.1108775,-629.12296875,428.8717345,-515.20518975,-420.34554650000007,None,NO_3,2026-04-23
2026-01-01 18:00:00+00:00,322.3928035,0.0,0.0,662.26805475,450.5291945,0.0,0.0,532.4211625,322.3928035,-662.26805475,450.5291945,-532.4211625,-421.76721925000004,None,NO_3,2026-04-23
2026-01-01 19:00:00+00:00,299.43358925,0.0,0.0,636.5572615,418.90649025,0.0,0.0,514.490192,299.43358925,-636.5572615,418.90649025,-514.490192,-432.70737399999996,None,NO_3,2026-04-23
2026-01-01 20:00:00+00:00,316.7064265,0.0,0.0,621.02555975,481.54805925,0.0,0.0,473.179844,316.7064265,-621.02555975,481.54805925,-473.179844,-295.95091799999994,None,NO_3,2026-04-23
2026-01-01 21:00:00+00:00,265.1981285,0.0,0.0,568.4095325000001,424.80698425,0.0,0.0,551.205292,265.1981285,-568.4095325000001,424.80698425,-551.205292,-429.60971175000003,None,NO_3,2026-04-23
2026-01-01 22:00:00+00:00,225.5372605,0.0,0.0,500.751076,342.45789975,0.0,0.0,655.11609525,225.5372605,-500.751076,342.45789975,-655.11609525,-587.8720109999999,None,NO_3,2026-04-23
2026-01-01 23:00:00+00:00,200.012705,0.0,0.0,394.6250315,205.3364075,0.0,0.0,745.1615127499999,200.012705,-394.6250315,205.3364075,-745.1615127499999,-734.4374317499999,None,NO_3,2026-04-23
2026-01-02 00:00:00+00:00,197.9162965,0.0,0.0,449.04608675,174.43102075000002,0.0,0.0,828.80378575,197.9162965,-449.04608675,174.43102075000002,-828.80378575,-905.5025552499999,None,NO_3,2026-04-23
2026-01-02 01:00:00+00:00,175.66639475,0.0,0.0,418.204288,185.0930805,0.0,0.0,868.92789875,175.66639475,-418.204288,185.0930805,-868.92789875,-926.3727115,None,NO_3,2026-04-23
2026-01-02 02:00:00+00:00,139.52378575,0.0,0.0,385.4760065,161.48491825000002,0.0,0.0,877.59940225,139.52378575,-385.4760065,161.48491825000002,-877.59940225,-962.06670475,None,NO_3,2026-04-23
2026-01-02 03:00:00+00:00,154.9405865,0.0,0.0,401.05964725,153.35606525,0.0,0.0,892.00507275,154.9405865,-401.05964725,153.35606525,-892.00507275,-984.7680682499999,None,NO_3,2026-04-23
2026-01-02 04:00:00+00:00,186.61450625,0.0,0.0,477.03295099999997,178.63304775,0.0,0.0,854.3967595,186.61450625,-477.03295099999997,178.63304775,-854.3967595,-966.1821565,None,NO_3,2026-04-23
2026-01-02 05:00:00+00:00,251.7153675,0.0,0.0,488.81241024999997,294.86628475,0.0,0.0,725.99898075,251.7153675,-488.81241024999997,294.86628475,-725.99898075,-668.22973875,None,NO_3,2026-04-23
2026-01-02 06:00:00+00:00,228.088682,0.0,0.0,430.236953,237.67535825000002,0.0,0.0,655.86442175,228.088682,-430.236953,237.67535825000002,-655.86442175,-620.3373345,None,NO_3,2026-04-23
2026-01-02 07:00:00+00:00,235.68991075000002,0.0,0.0,548.2123427500001,254.87061525000001,0.0,0.0,562.34647425,235.68991075000002,-548.2123427500001,254.87061525000001,-562.34647425,-619.9982910000001,None,NO_3,2026-04-23
2026-01-02 08:00:00+00:00,246.95055225,0.0,0.0,685.890724,190.0778875,0.0,0.0,523.95456575,246.95055225,-685.890724,190.0778875,-523.95456575,-772.81685,None,NO_3,2026-04-23
2026-01-02 09:00:00+00:00,269.52424874999997,0.0,0.0,777.92636875,206.54658225,0.0,0.0,500.41559725,269.52424874999997,-777.92636875,206.54658225,-500.41559725,-802.2711350000001,None,NO_3,2026-04-23
2026-01-02 10:00:00+00:00,293.3995655,0.0,0.0,816.8894789999999,250.6282995,0.0,0.0,598.31060375,293.3995655,-816.8894789999999,250.6282995,-598.31060375,-871.17221775,None,NO_3,2026-04-23
2026-01-02 11:00:00+00:00,299.4903885,0.0,0.0,710.479978,204.07191949999998,0.0,0.0,571.75205225,299.4903885,-710.479978,204.07191949999998,-571.75205225,-778.66972225,None,NO_3,2026-04-23
2026-01-02 12:00:00+00:00,322.64347075,0.0,0.0,732.5832977499999,113.579128,0.0,0.0,618.2899775000001,322.64347075,-732.5832977499999,113.579128,-618.2899775000001,-914.6506765,None,NO_3,2026-04-23
2026-01-02 13:00:00+00:00,288.0044705,0.0,0.0,674.8406355,54.29390425,0.0,0.0,587.63181775,288.0044705,-674.8406355,54.29390425,-587.63181775,-920.1740785,None,NO_3,2026-04-23
2026-01-02 14:00:00+00:00,313.24282,0.0,0.0,739.5446125,145.49816775,0.0,0.0,524.4081337499999,313.24282,-739.5446125,145.49816775,-524.4081337499999,-805.2117584999999,None,NO_3,2026-04-23
2026-01-02 15:00:00+00:00,317.84117775,0.0,0.0,790.74139825,124.85835325,0.0,0.0,580.542725,317.84117775,-790.74139825,124.85835325,-580.542725,-928.58459225,None,NO_3,2026-04-23
