,NO_4_SE_2,SE_2_NO_4,NO_4_FI,FI_NO_4,NO_4_NO_3,NO_3_NO_4,NO_4_SE_1,SE_1_NO_4,NO_4_SE_2_net_export,NO_4_FI_net_export,NO_4_NO_3_net_export,NO_4_SE_1_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,36.372785,0.0,23.70072225,342.47192925,0.0,0.0,211.16296925,-36.372785,-23.70072225,342.47192925,-211.16296925,71.23545275000004,None,NO_4,2026-04-23
2026-01-01 01:00:00+00:00,0.0,46.515221249999996,0.0,22.045104000000002,225.01030875,0.0,0.0,252.8813075,-46.515221249999996,-22.045104000000002,225.01030875,-252.8813075,-96.43132399999999,None,NO_4,2026-04-23
2026-01-01 02:00:00+00:00,0.0,69.45142625,0.0,25.758841,192.03757325,0.0,0.0,294.39416175,-69.45142625,-25.758841,192.03757325,-294.39416175,-197.56685575,None,NO_4,2026-04-23
2026-01-01 03:00:00+00:00,0.0,81.0128995,0.0,25.28701625,200.14379525,0.0,0.0,295.91940999999997,-81.0128995,-25.28701625,200.14379525,-295.91940999999997,-202.07553049999996,None,NO_4,2026-04-23
2026-01-01 04:00:00+00:00,0.0,79.63339625,0.0,31.508955750000002,256.96689575,0.0,0.0,281.9130955,-79.63339625,-31.508955750000002,256.96689575,-281.9130955,-136.08855175000002,None,NO_4,2026-04-23
2026-01-01 05:00:00+00:00,0.0,82.77113675000001,0.0,32.970211750000004,281.41746224999997,0.0,0.0,310.56598925000003,-82.77113675000001,-32.970211750000004,281.41746224999997,-310.56598925000003,-144.88987550000007,None,NO_4,2026-04-23
2026-01-01 06:00:00+00:00,0.0,77.00629749999999,0.0,37.47104675,247.71576575,0.0,0.0,281.14920925,-77.00629749999999,-37.47104675,247.71576575,-281.14920925,-147.91078775,None,NO_4,2026-04-23
2026-01-01 07:00:00+00:00,0.0,68.057149,0.0,36.841852,337.81405275,0.0,0.0,257.758744,-68.057149,-36.841852,337.81405275,-257.758744,-24.843692250000004,None,NO_4,2026-04-23
2026-01-01 08:00:00+00:00,0.0,51.408122,0.0,40.86838,432.10187625000003,0.0,0.0,212.8264995,-51.408122,-40.86838,432.10187625000003,-212.8264995,126.99887475000003,None,NO_4,2026-04-23
2026-01-01 09:00:00+00:00,0.0,19.86253825,0.0,37.488324500000004,613.8861475,0.0,0.0,145.06332325,-19.86253825,-37.488324500000004,613.8861475,-145.06332325,411.47196149999996,None,NO_4,2026-04-23
2026-01-01 10:00:00+00:00,11.50553475,0.0,0.0,12.875821,635.83829175,0.0,31.43393725,0.0,11.50553475,-12.875821,635.83829175,31.43393725,665.90194275,None,NO_4,2026-04-23
2026-01-01 11:00:00+00:00,5.19505525,0.0,0.0,11.073407,642.8981145,0.0,8.822288,12.31774975,5.19505525,-11.073407,642.8981145,-3.4954617500000005,633.524301,None,NO_4,2026-04-23
2026-01-01 12:00:00+00:00,0.0,31.75729225,0.0,11.7677125,690.44590925,0.0,0.0,47.548227499999996,-31.75729225,-11.7677125,690.44590925,-47.548227499999996,599.3726770000001,None,NO_4,2026-04-23
2026-01-01 13:00:00+00:00,0.0,58.86507275,2.808175,4.36244275,641.2814805,0.0,0.0,176.913597,-58.86507275,-1.5542677499999997,641.2814805,-176.913597,403.9485430000001,None,NO_4,2026-04-23
2026-01-01 14:00:00+00:00,0.0,72.362496,11.728,0.0,646.10512,0.0,0.0,226.07570725,-72.362496,11.728,646.10512,-226.07570725,359.39491675000005,None,NO_4,2026-04-23
2026-01-01 15:00:00+00:00,0.0,99.2712175,12.39105,0.0,611.62784875,0.0,0.0,312.53919675,-99.2712175,12.39105,611.62784875,-312.53919675,212.20848450000005,None,NO_4,2026-04-23
2026-01-01 16:00:00+00:00,0.0,128.6336115,18.168,0.0,471.9423045,0.0,0.0,404.94608475,-128.6336115,18.168,471.9423045,-404.94608475,-43.46939175000006,None,NO_4,2026-04-23
2026-01-01 17:00:00+00:00,0.0,59.8976425,34.94225,0.0,629.12296875,0.0,0.0,222.59425075000001,-59.8976425,34.94225,629.12296875,-222.59425075000001,381.5733255,None,NO_4,2026-04-23
2026-01-01 18:00:00+00:00,0.0,55.1836725,39.8985,0.0,662.26805475,0.0,0.0,138.0333555,-55.1836725,39.8985,662.26805475,-138.0333555,508.94952675,None,NO_4,2026-04-23
2026-01-01 19:00:00+00:00,0.0,47.971392,46.64925,0.0,636.5572615,0.0,0.0,101.32273375,-47.971392,46.64925,636.5572615,-101.32273375,533.91238575,None,NO_4,2026-04-23
2026-01-01 20:00:00+00:00,0.0,37.04985225,41.66325,0.0,621.02555975,0.0,0.0,79.24413625,-37.04985225,41.66325,621.02555975,-79.24413625,546.39482125,None,NO_4,2026-04-23
2026-01-01 21:00:00+00:00,0.0,67.334847,30.425,0.0,568.4095325000001,0.0,0.0,179.792824,-67.334847,30.425,568.4095325000001,-179.792824,351.70686150000006,None,NO_4,2026-04-23
2026-01-01 22:00:00+00:00,0.0,117.37004575,26.589,0.0,500.751076,0.0,0.0,285.33426775,-117.37004575,26.589,500.751076,-285.33426775,124.63576250000006,None,NO_4,2026-04-23
2026-01-01 23:00:00+00:00,0.0,160.78605225,29.03275,0.0,394.6250315,0.0,0.0,402.0841765,-160.78605225,29.03275,394.6250315,-402.0841765,-139.21244725000008,None,NO_4,2026-04-23
2026-01-02 00:00:00+00:00,0.0,182.7362865,21.887999999999998,0.0,449.04608675,0.0,0.0,465.30755925,-182.7362865,21.887999999999998,449.04608675,-465.30755925,-177.109759,None,NO_4,2026-04-23
2026-01-02 01:00:00+00:00,0.0,186.29255125,17.332,0.0,418.204288,0.0,0.0,460.70747325,-186.29255125,17.332,418.204288,-460.70747325,-211.4637365,None,NO_4,2026-04-23
2026-01-02 02:00:00+00:00,0.0,194.64218175000002,21.441000000000003,0.0,385.4760065,0.0,0.0,489.36255975,-194.64218175000002,21.441000000000003,385.4760065,-489.36255975,-277.08773500000007,None,NO_4,2026-04-23
2026-01-02 03:00:00+00:00,0.0,200.092246,17.41325,0.0,401.05964725,0.0,0.0,533.79536025,-200.092246,17.41325,401.05964725,-533.79536025,-315.414709,None,NO_4,2026-04-23
2026-01-02 04:00:00+00:00,0.0,171.5030475,22.26375,0.0,477.03295099999997,0.0,0.0,471.2027065,-171.5030475,22.26375,477.03295099999997,-471.2027065,-143.40905300000003,None,NO_4,2026-04-23
2026-01-02 05:00:00+00:00,0.0,157.1994105,28.6985,0.0,488.81241024999997,0.0,0.0,504.76168175,-157.1994105,28.6985,488.81241024999997,-504.76168175,-144.45018200000004,None,NO_4,2026-04-23
2026-01-02 06:00:00+00:00,0.0,147.444938,31.16,0.0,430.236953,0.0,0.0,500.709952,-147.444938,31.16,430.236953,-500.709952,-186.75793699999997,None,NO_4,2026-04-23
2026-01-02 07:00:00+00:00,0.0,93.964186,36.638,0.0,548.2123427500001,0.0,0.0,402.3548395,-93.964186,36.638,548.2123427500001,-402.3548395,88.53131725000003,None,NO_4,2026-04-23
2026-01-02 08:00:00+00:00,0.0,71.29200575,38.6265,0.0,685.890724,0.0,0.0,321.60223025,-71.29200575,38.6265,685.890724,-321.60223025,331.622988,None,NO_4,2026-04-23
2026-01-02 09:00:00+00:00,0.0,54.70874825,47.737,0.0,777.92636875,0.0,0.0,211.29845825,-54.70874825,47.737,777.92636875,-211.29845825,559.6561622500001,None,NO_4,2026-04-23
2026-01-02 10:00:00+00:00,0.0,62.11204325,36.439750000000004,0.0,816.8894789999999,0.0,0.0,246.56318975,-62.11204325,36.439750000000004,816.8894789999999,-246.56318975,544.653996,None,NO_4,2026-04-23
2026-01-02 11:00:00+00:00,0.0,46.486650749999995,34.228,0.0,710.479978,0.0,0.0,215.65734625,-46.486650749999995,34.228,710.479978,-215.65734625,482.56398099999996,None,NO_4,2026-04-23
2026-01-02 12:00:00+00:00,0.0,56.24571425,28.63975,0.0,732.5832977499999,0.0,0.0,254.18565075,-56.24571425,28.63975,732.5832977499999,-254.18565075,450.79168274999995,None,NO_4,2026-04-23
2026-01-02 13:00:00+00:00,0.0,54.41458475,31.0805,0.0,674.8406355,0.0,0.0,234.10366399999998,-54.41458475,31.0805,674.8406355,-234.10366399999998,417.40288675,None,NO_4,2026-04-23
2026-01-02 14:00:00+00:00,0.0,37.83263425,47.357,0.0,739.5446125,0.0,0.0,78.02900825,-37.83263425,47.357,739.5446125,-78.02900825,671.03997,None,NO_4,2026-04-23
2026-01-02 15:00:00+00:00,0.0,52.12484875,48.98925,0.0,790.74139825,0.0,0.0,114.70808400000001,-52.12484875,48.98925,790.74139825,-114.70808400000001,672.8977155,None,NO_4,2026-04-23
2026-01-02 16:00:00+00:00,0.0,62.0513965,50.46,0.0,803.858517,0.0,0.0,181.10125325,-62.0513965,50.46,803.858517,-181.10125325,611.16586725,None,NO_4,2026-04-23
2026-01-02 17:00:00+00:00,0.0,71.19345125,55.830749999999995,0.0,779.9856097500001,0.0,0.0,196.04618775,-71.19345125,55.830749999999995,779.9856097500001,-196.04618775,568.57672075,None,NO_4,2026-04-23
2026-01-02 18:00:00+00:00,0.0,87.19286725,53.75075,0.0,777.57696725,0.0,0.0,224.739149,-87.19286725,53.75075,777.57696725,-224.739149,519.395701,None,NO_4,2026-04-23
2026-01-02 19:00:00+00:00,0.0,111.9171795,44.6285,0.0,766.79649175,0.0,0.0,291.86785225,-111.9171795,44.6285,766.79649175,-291.86785225,407.6399599999999,None,NO_4,2026-04-23
2026-01-02 20:00:00+00:00,0.0,98.4449935,52.65275,0.0,767.7401775000001,0.0,0.0,206.48130325,-98.4449935,52.65275,767.7401775000001,-206.48130325,515.46663075,None,NO_4,2026-04-23
2026-01-02 21:00:00+00:00,0.0,134.9905405,41.22625,0.0,621.95346425,0.0,0.0,363.98389875,-134.9905405,41.22625,621.95346425,-363.98389875,164.20527500000003,None,NO_4,2026-04-23
2026-01-02 22:00:00+00:00,0.0,169.2113195,30.0595,0.0,516.04735075,0.0,0.0,503.40875925,-169.2113195,30.0595,516.04735075,-503.40875925,-126.51322800000003,None,NO_4,2026-04-23
2026-01-02 23:00:00+00:00,0.0,68.02247475,47.72725,0.0,780.89562175,0.0,0.0,82.2264735,-68.02247475,47.72725,780.89562175,-82.2264735,678.3739235,None,NO_4,2026-04-23
2026-01-03 00:00:00+00:00,0.0,49.42980575,35.53475,0.0,777.0979465,0.0,0.0,40.686575500000004,-49.42980575,35.53475,777.0979465,-40.686575500000004,722.51631525,None,NO_4,2026-04-23
2026-01-03 01:00:00+00:00,0.0,42.8250475,19.1386,0.0,835.3732665,0.0,1.86362825,44.824801,-42.8250475,19.1386,835.3732665,-42.96117275,768.72564625,None,NO_4,2026-04-23
2026-01-03 02:00:00+00:00,0.0,58.01891225,5.074075,0.0,748.63820925,0.0,0.0,84.62353475,-58.01891225,5.074075,748.63820925,-84.62353475,611.0698372500001,None,NO_4,2026-04-23
2026-01-03 03:00:00+00:00,0.0,55.516490000000005,1.200075,3.58600825,790.7659535,0.0,0.0,100.9810545,-55.516490000000005,-2.38593325,790.7659535,-100.9810545,631.88247575,None,NO_4,2026-04-23
2026-01-03 04:00:00+00:00,0.0,65.65679175,0.0,7.314723,859.39150175,0.0,0.0,94.2980445,-65.65679175,-7.314723,859.39150175,-94.2980445,692.1219424999999,None,NO_4,2026-04-23
2026-01-03 05:00:00+00:00,0.0,61.5257315,0.0,8.58570575,911.235201,0.0,0.0,80.633601,-61.5257315,-8.58570575,911.235201,-80.633601,760.49016275,None,NO_4,2026-04-23
2026-01-03 06:00:00+00:00,0.0,39.88255775,0.0,5.40770025,953.341655,0.0,0.0,76.3149785,-39.88255775,-5.40770025,953.341655,-76.3149785,831.7364184999999,None,NO_4,2026-04-23
2026-01-03 07:00:00+00:00,0.0,44.894773,0.0,9.494276750000001,961.68105775,0.0,0.0,98.33077625,-44.894773,-9.494276750000001,961.68105775,-98.33077625,808.96123175,None,NO_4,2026-04-23
2026-01-03 08:00:00+00:00,0.0,54.6716775,1.183375,4.8737295000000005,974.3186694999999,0.0,0.0,142.08331950000002,-54.6716775,-3.6903545000000006,974.3186694999999,-142.08331950000002,773.8733179999999,None,NO_4,2026-04-23
2026-01-03 09:00:00+00:00,0.0,49.98660525,13.231800000000002,0.0,975.74944325,0.0,0.0,112.42355925,-49.98660525,13.231800000000002,975.74944325,-112.42355925,826.57107875,None,NO_4,2026-04-23
2026-01-03 10:00:00+00:00,0.0,49.8858805,8.8642,0.0,974.4785875,0.0,0.0,93.63140275,-49.8858805,8.8642,974.4785875,-93.63140275,839.82550425,None,NO_4,2026-04-23
2026-01-03 11:00:00+00:00,0.0,52.08948075,0.648425,2.399184,982.63793325,0.0,0.0,86.90145749999999,-52.08948075,-1.750759,982.63793325,-86.90145749999999,841.8962359999999,None,NO_4,2026-04-23
2026-01-03 12:00:00+00:00,0.0,46.988801,0.0,11.2553405,972.1421215,0.0,0.0,108.67145925,-46.988801,-11.2553405,972.1421215,-108.67145925,805.2265207500001,None,NO_4,2026-04-23
2026-01-03 13:00:00+00:00,0.0,49.81643175,0.0,15.7413485,973.14668525,0.0,0.0,102.325293,-49.81643175,-15.7413485,973.14668525,-102.325293,805.2636120000001,None,NO_4,2026-04-23
2026-01-03 14:00:00+00:00,0.0,48.09525175,0.0,15.50966125,968.80146925,0.0,0.0,108.56038525000001,-48.09525175,-15.50966125,968.80146925,-108.56038525000001,796.636171,None,NO_4,2026-04-23
2026-01-03 15:00:00+00:00,0.0,47.1410215,0.0,11.937892,950.74285175,0.0,0.0,50.76754725,-47.1410215,-11.937892,950.74285175,-50.76754725,840.896391,None,NO_4,2026-04-23
2026-01-03 16:00:00+00:00,0.0,50.885234499999996,0.0,11.4332595,993.12223125,0.0,0.0,84.3433395,-50.885234499999996,-11.4332595,993.12223125,-84.3433395,846.4603977500001,None,NO_4,2026-04-23
2026-01-03 17:00:00+00:00,0.0,25.5449815,0.0,10.18689425,1000.458677,0.0,0.0,71.84414975,-25.5449815,-10.18689425,1000.458677,-71.84414975,892.8826515,None,NO_4,2026-04-23
