,PL_CZ,CZ_PL,PL_DE_LU,DE_LU_PL,PL_LT,LT_PL,PL_SE_4,SE_4_PL,PL_SK,SK_PL,PL_CZ_net_export,PL_DE_LU_net_export,PL_LT_net_export,PL_SE_4_net_export,PL_SK_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,749.72325,0.0,0.0,1967.2225,0.775,46.65,0.0,596.35,853.912,0.0,749.72325,-1967.2225,-45.875,-596.35,853.912,-1005.8122500000002,None,PL,2026-04-23
2026-01-01 01:00:00+00:00,1026.862675,0.0,0.0,1678.7325,0.0,100.94999999999999,0.0,596.85,1013.6899999999999,0.0,1026.862675,-1678.7325,-100.94999999999999,-596.85,1013.6899999999999,-335.979825,None,PL,2026-04-23
2026-01-01 02:00:00+00:00,1075.584875,0.0,0.0,1701.4675,0.0,189.85,0.0,579.3000000000001,1028.33925,0.0,1075.584875,-1701.4675,-189.85,-579.3000000000001,1028.33925,-366.69337500000006,None,PL,2026-04-23
2026-01-01 03:00:00+00:00,1147.60745,0.0,0.0,1362.56,37.2,51.2,0.0,423.34999999999997,1064.32175,0.0,1147.60745,-1362.56,-14.0,-423.34999999999997,1064.32175,412.0192000000002,None,PL,2026-04-23
2026-01-01 04:00:00+00:00,1391.883675,0.0,0.0,1484.355,55.324999999999996,3.25,0.0,97.425,1090.17875,0.0,1391.883675,-1484.355,52.074999999999996,-97.425,1090.17875,952.357425,None,PL,2026-04-23
2026-01-01 05:00:00+00:00,1930.234775,0.0,0.0,1570.0,133.4,0.0,16.25,48.7125,1315.4005,0.0,1930.234775,-1570.0,133.4,-32.4625,1315.4005,1776.5727749999999,[SYSTEM] PHYS_BILATERAL_ZERO_[SE_4]_LINEAR,PL,2026-04-23
2026-01-01 06:00:00+00:00,2135.5861999999997,0.0,0.0,1356.365,39.875,0.0,32.5,0.0,1300.9927500000001,0.0,2135.5861999999997,-1356.365,39.875,32.5,1300.9927500000001,2152.58895,None,PL,2026-04-23
2026-01-01 07:00:00+00:00,2037.4386,0.0,0.0,1120.8975,85.475,0.0,573.6,0.0,1019.8625,0.0,2037.4386,-1120.8975,85.475,573.6,1019.8625,2595.4786,None,PL,2026-04-23
2026-01-01 08:00:00+00:00,2164.560325,0.0,0.0,1025.65075,154.675,0.0,616.7,0.0,1054.681,0.0,2164.560325,-1025.65075,154.675,616.7,1054.681,2964.965575,None,PL,2026-04-23
2026-01-01 09:00:00+00:00,2189.2069,0.0,0.0,698.20375,175.75,0.0,616.6,0.0,1066.554,0.0,2189.2069,-698.20375,175.75,616.6,1066.554,3349.90715,None,PL,2026-04-23
2026-01-01 10:00:00+00:00,2276.90495,0.0,0.0,698.44,199.225,0.0,616.975,0.0,1218.1009999999999,0.0,2276.90495,-698.44,199.225,616.975,1218.1009999999999,3612.76595,None,PL,2026-04-23
