,PT_ES,ES_PT,PT_ES_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,82.84,98.03,-15.189999999999998,-15.189999999999998,None,PT,2026-04-23
2026-01-01 01:00:00+00:00,65.99000000000001,11.85,54.14000000000001,54.14000000000001,None,PT,2026-04-23
2026-01-01 02:00:00+00:00,3.33,285.1,-281.77000000000004,-281.77000000000004,None,PT,2026-04-23
2026-01-01 03:00:00+00:00,0.0,851.8199999999999,-851.8199999999999,-851.8199999999999,None,PT,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1016.26,-1016.26,-1016.26,None,PT,2026-04-23
2026-01-01 05:00:00+00:00,0.0,977.65,-977.65,-977.65,None,PT,2026-04-23
2026-01-01 06:00:00+00:00,0.0,416.73,-416.73,-416.73,None,PT,2026-04-23
2026-01-01 07:00:00+00:00,0.0,555.71,-555.71,-555.71,None,PT,2026-04-23
2026-01-01 08:00:00+00:00,0.0,987.47,-987.47,-987.47,None,PT,2026-04-23
2026-01-01 09:00:00+00:00,0.0,1365.78,-1365.78,-1365.78,None,PT,2026-04-23
2026-01-01 10:00:00+00:00,0.0,1614.33,-1614.33,-1614.33,None,PT,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1982.19,-1982.19,-1982.19,None,PT,2026-04-23
2026-01-01 12:00:00+00:00,0.0,2054.13,-2054.13,-2054.13,None,PT,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1749.23,-1749.23,-1749.23,None,PT,2026-04-23
2026-01-01 14:00:00+00:00,0.0,1673.23,-1673.23,-1673.23,None,PT,2026-04-23
2026-01-01 15:00:00+00:00,0.0,974.93,-974.93,-974.93,None,PT,2026-04-23
2026-01-01 16:00:00+00:00,698.09,0.0,698.09,698.09,None,PT,2026-04-23
2026-01-01 17:00:00+00:00,1785.15,0.0,1785.15,1785.15,None,PT,2026-04-23
2026-01-01 18:00:00+00:00,2171.9700000000003,0.0,2171.9700000000003,2171.9700000000003,None,PT,2026-04-23
2026-01-01 19:00:00+00:00,2307.36,0.0,2307.36,2307.36,None,PT,2026-04-23
2026-01-01 20:00:00+00:00,2394.57,0.0,2394.57,2394.57,None,PT,2026-04-23
2026-01-01 21:00:00+00:00,2243.29,0.0,2243.29,2243.29,None,PT,2026-04-23
2026-01-01 22:00:00+00:00,1647.1599999999999,0.0,1647.1599999999999,1647.1599999999999,None,PT,2026-04-23
2026-01-01 23:00:00+00:00,426.63,108.66,317.97,317.97,None,PT,2026-04-23
2026-01-02 00:00:00+00:00,0.0,728.11,-728.11,-728.11,None,PT,2026-04-23
2026-01-02 01:00:00+00:00,0.0,840.37,-840.37,-840.37,None,PT,2026-04-23
2026-01-02 02:00:00+00:00,0.0,534.22,-534.22,-534.22,None,PT,2026-04-23
2026-01-02 03:00:00+00:00,0.0,176.91,-176.91,-176.91,None,PT,2026-04-23
2026-01-02 04:00:00+00:00,3.72,163.69,-159.97,-159.97,None,PT,2026-04-23
2026-01-02 05:00:00+00:00,49.879999999999995,0.0,49.879999999999995,49.879999999999995,None,PT,2026-04-23
2026-01-02 06:00:00+00:00,1039.45,0.0,1039.45,1039.45,None,PT,2026-04-23
2026-01-02 07:00:00+00:00,2212.13,0.0,2212.13,2212.13,None,PT,2026-04-23
2026-01-02 08:00:00+00:00,2276.23,0.0,2276.23,2276.23,None,PT,2026-04-23
2026-01-02 09:00:00+00:00,1610.6799999999998,0.0,1610.6799999999998,1610.6799999999998,None,PT,2026-04-23
2026-01-02 10:00:00+00:00,727.64,0.0,727.64,727.64,None,PT,2026-04-23
2026-01-02 11:00:00+00:00,342.86,0.0,342.86,342.86,None,PT,2026-04-23
2026-01-02 12:00:00+00:00,25.97,47.87,-21.9,-21.9,None,PT,2026-04-23
2026-01-02 13:00:00+00:00,3.87,137.25,-133.38,-133.38,None,PT,2026-04-23
2026-01-02 14:00:00+00:00,116.98,23.15,93.83000000000001,93.83000000000001,None,PT,2026-04-23
2026-01-02 15:00:00+00:00,904.67,0.0,904.67,904.67,None,PT,2026-04-23
2026-01-02 16:00:00+00:00,1730.28,0.0,1730.28,1730.28,None,PT,2026-04-23
2026-01-02 17:00:00+00:00,2472.14,0.0,2472.14,2472.14,None,PT,2026-04-23
2026-01-02 18:00:00+00:00,2106.48,0.0,2106.48,2106.48,None,PT,2026-04-23
2026-01-02 19:00:00+00:00,1750.13,0.0,1750.13,1750.13,None,PT,2026-04-23
