,RO_BG,BG_RO,RO_HU,HU_RO,RO_RS,RS_RO,RO_BG_net_export,RO_HU_net_export,RO_RS_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,651.04,0.0,0.0,726.812,84.8261,0.0,651.04,-726.812,84.8261,9.054099999999949,None,RO,2026-04-23
2026-01-01 01:00:00+00:00,693.04,0.0,0.0,715.48725,77.7393,0.0,693.04,-715.48725,77.7393,55.292049999999946,None,RO,2026-04-23
2026-01-01 02:00:00+00:00,664.88,0.0,0.0,685.24425,76.7973,0.0,664.88,-685.24425,76.7973,56.43305000000004,None,RO,2026-04-23
2026-01-01 03:00:00+00:00,705.84,0.0,0.0,680.52175,49.8548,0.0,705.84,-680.52175,49.8548,75.17305000000003,None,RO,2026-04-23
2026-01-01 04:00:00+00:00,713.12,0.0,0.0,671.5295,0.7243,0.0,713.12,-671.5295,0.7243,42.31480000000002,None,RO,2026-04-23
2026-01-01 05:00:00+00:00,928.0,0.0,0.0,616.27325,63.542,0.0,928.0,-616.27325,63.542,375.26875000000007,None,RO,2026-04-23
2026-01-01 06:00:00+00:00,803.44,0.0,0.0,454.58299999999997,92.8536,0.0,803.44,-454.58299999999997,92.8536,441.7106000000001,None,RO,2026-04-23
2026-01-01 07:00:00+00:00,317.04,214.0,2.11225,152.96,187.734,0.0,103.04000000000002,-150.84775000000002,187.734,139.92625,None,RO,2026-04-23
2026-01-01 08:00:00+00:00,202.4,380.64,139.445,1.79775,249.9553,0.0,-178.23999999999998,137.64724999999999,249.9553,209.36255,None,RO,2026-04-23
2026-01-01 09:00:00+00:00,401.6,317.76,168.695,0.0,319.174,0.0,83.84000000000003,168.695,319.174,571.7090000000001,None,RO,2026-04-23
2026-01-01 10:00:00+00:00,674.4,176.4,4.117999999999999,23.69725,320.2515,0.0,498.0,-19.579250000000002,320.2515,798.6722500000001,None,RO,2026-04-23
2026-01-01 11:00:00+00:00,760.0,158.32,0.665,47.08825,339.694,0.0,601.6800000000001,-46.42325,339.694,894.95075,None,RO,2026-04-23
2026-01-01 12:00:00+00:00,834.8,49.04,0.0,209.38825,327.1762,0.0,785.76,-209.38825,327.1762,903.54795,None,RO,2026-04-23
2026-01-01 13:00:00+00:00,1140.0,0.48,0.0,376.36,276.5415,0.0,1139.52,-376.36,276.5415,1039.7015,None,RO,2026-04-23
2026-01-01 14:00:00+00:00,1422.72,0.0,0.0,608.11375,37.0587,0.0,1422.72,-608.11375,37.0587,851.6649500000001,None,RO,2026-04-23
2026-01-01 15:00:00+00:00,1334.56,0.0,0.0,578.8835,92.3795,0.0,1334.56,-578.8835,92.3795,848.0559999999999,None,RO,2026-04-23
2026-01-01 16:00:00+00:00,1272.56,0.0,0.0,571.744,7.3948,0.0,1272.56,-571.744,7.3948,708.2108,None,RO,2026-04-23
2026-01-01 17:00:00+00:00,1282.64,0.0,0.0,584.2135,15.5165,0.0,1282.64,-584.2135,15.5165,713.9430000000001,None,RO,2026-04-23
2026-01-01 18:00:00+00:00,1416.32,0.0,0.0,550.413,101.3428,0.0,1416.32,-550.413,101.3428,967.2497999999999,None,RO,2026-04-23
2026-01-01 19:00:00+00:00,1596.32,0.0,0.0,527.9367500000001,161.3433,0.0,1596.32,-527.9367500000001,161.3433,1229.7265499999999,None,RO,2026-04-23
2026-01-01 20:00:00+00:00,1597.6,0.0,0.0,512.50675,218.9615,0.0,1597.6,-512.50675,218.9615,1304.0547499999998,None,RO,2026-04-23
2026-01-01 21:00:00+00:00,1549.6,0.0,0.0,466.37325,270.9235,0.0,1549.6,-466.37325,270.9235,1354.1502499999997,None,RO,2026-04-23
2026-01-01 22:00:00+00:00,1752.48,0.0,0.0,517.665,323.6513,0.0,1752.48,-517.665,323.6513,1558.4663,None,RO,2026-04-23
2026-01-01 23:00:00+00:00,1730.88,0.0,0.0,546.1865,299.1255,0.0,1730.88,-546.1865,299.1255,1483.819,None,RO,2026-04-23
2026-01-02 00:00:00+00:00,1864.48,0.0,0.0,515.028,259.3295,0.0,1864.48,-515.028,259.3295,1608.7815,None,RO,2026-04-23
2026-01-02 01:00:00+00:00,1840.32,0.0,0.0,541.20375,87.7717,0.0,1840.32,-541.20375,87.7717,1386.88795,None,RO,2026-04-23
2026-01-02 02:00:00+00:00,1755.92,0.0,0.0,538.24825,103.5872,0.0,1755.92,-538.24825,103.5872,1321.25895,None,RO,2026-04-23
2026-01-02 03:00:00+00:00,1601.28,0.0,0.0,528.486,104.3956,0.0,1601.28,-528.486,104.3956,1177.1896,None,RO,2026-04-23
2026-01-02 04:00:00+00:00,1481.28,0.0,0.0,522.184,203.2743,0.0,1481.28,-522.184,203.2743,1162.3703,None,RO,2026-04-23
2026-01-02 05:00:00+00:00,1348.56,0.0,0.0,527.1767500000001,166.7082,0.0,1348.56,-527.1767500000001,166.7082,988.0914499999999,None,RO,2026-04-23
2026-01-02 06:00:00+00:00,1076.08,0.0,0.0,468.30125,103.4108,0.0,1076.08,-468.30125,103.4108,711.1895499999999,None,RO,2026-04-23
2026-01-02 07:00:00+00:00,397.92,119.28,0.0,232.9395,105.6688,0.0,278.64,-232.9395,105.6688,151.36929999999998,None,RO,2026-04-23
2026-01-02 08:00:00+00:00,152.0,366.56,40.132999999999996,46.7425,195.0478,0.0,-214.56,-6.609500000000004,195.0478,-26.121700000000004,None,RO,2026-04-23
2026-01-02 09:00:00+00:00,75.2,440.24,134.05675,0.0,208.179,0.0,-365.04,134.05675,208.179,-22.804250000000025,None,RO,2026-04-23
2026-01-02 10:00:00+00:00,44.0,427.52,123.27625,0.0,149.9385,0.0,-383.52,123.27625,149.9385,-110.30524999999997,None,RO,2026-04-23
2026-01-02 11:00:00+00:00,26.4,483.28,30.58475,28.43875,82.365,0.0,-456.88,2.146000000000001,82.365,-372.36899999999997,None,RO,2026-04-23
2026-01-02 12:00:00+00:00,21.6,464.48,0.0,140.42425,3.7099,0.0,-442.88,-140.42425,3.7099,-579.5943500000001,None,RO,2026-04-23
2026-01-02 13:00:00+00:00,201.6,258.08,0.0,349.363,0.0,32.5715,-56.47999999999999,-349.363,-32.5715,-438.4145,None,RO,2026-04-23
2026-01-02 14:00:00+00:00,569.84,80.8,0.0,565.1835,0.0,63.1078,489.04,-565.1835,-63.1078,-139.25129999999996,None,RO,2026-04-23
2026-01-02 15:00:00+00:00,501.6,137.44,0.0,531.438,0.0,42.4831,364.16,-531.438,-42.4831,-209.76109999999997,None,RO,2026-04-23
2026-01-02 16:00:00+00:00,504.8,170.4,0.0,440.38725,0.0,9.0586,334.4,-440.38725,-9.0586,-115.04585000000002,None,RO,2026-04-23
2026-01-02 17:00:00+00:00,525.6,201.44,0.0,417.471,57.3386,0.0,324.16,-417.471,57.3386,-35.97239999999998,None,RO,2026-04-23
2026-01-02 18:00:00+00:00,611.36,93.6,0.0,435.83925,75.0374,0.0,517.76,-435.83925,75.0374,156.95815,None,RO,2026-04-23
