,RS_BA,BA_RS,RS_BG,BG_RS,RS_HR,HR_RS,RS_HU,HU_RS,RS_ME,ME_RS,RS_MK,MK_RS,RS_RO,RO_RS,RS_BA_net_export,RS_BG_net_export,RS_HR_net_export,RS_HU_net_export,RS_ME_net_export,RS_MK_net_export,RS_RO_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,138.2234,0.0,21.0698,0.0,433.0,0.0,534.249,52.3098,0.0,42.548,0.0,0.0,84.8261,-138.2234,-21.0698,-433.0,-534.249,52.3098,42.548,-84.8261,-1116.5105,None,RS,2026-04-23
2026-01-01 01:00:00+00:00,0.0,123.456,8.0495,0.0,0.0,414.0,0.0,520.5865,92.6183,0.0,28.0334,0.0,0.0,77.7393,-123.456,8.0495,-414.0,-520.5865,92.6183,28.0334,-77.7393,-1007.0805999999999,None,RS,2026-04-23
2026-01-01 02:00:00+00:00,0.0,86.2019,22.9367,0.0,0.0,380.0,0.0,488.8285,104.6949,0.0,11.8545,0.0,0.0,76.7973,-86.2019,22.9367,-380.0,-488.8285,104.6949,11.8545,-76.7973,-892.3416,None,RS,2026-04-23
2026-01-01 03:00:00+00:00,0.0,79.685,57.6935,0.0,0.0,367.0,0.0,457.65375,116.5298,0.0,0.0,1.9111,0.0,49.8548,-79.685,57.6935,-367.0,-457.65375,116.5298,-1.9111,-49.8548,-781.88135,None,RS,2026-04-23
2026-01-01 04:00:00+00:00,0.0,60.1187,62.7164,0.0,0.0,329.0,0.0,417.93325,98.2646,0.0,0.0,10.625,0.0,0.7243,-60.1187,62.7164,-329.0,-417.93325,98.2646,-10.625,-0.7243,-657.42025,None,RS,2026-04-23
2026-01-01 05:00:00+00:00,0.0,15.1839,80.1586,0.0,0.0,314.0,0.0,437.80075,118.2546,0.0,0.0,19.0398,0.0,63.542,-15.1839,80.1586,-314.0,-437.80075,118.2546,-19.0398,-63.542,-651.1532500000001,None,RS,2026-04-23
2026-01-01 06:00:00+00:00,123.4323,0.0,0.0,90.2217,0.0,160.0,0.0,313.56575,0.0,60.5868,16.9718,0.0,0.0,92.8536,123.4323,-90.2217,-160.0,-313.56575,-60.5868,16.9718,-92.8536,-576.82375,None,RS,2026-04-23
2026-01-01 07:00:00+00:00,246.0783,0.0,0.0,544.6577,156.0,0.0,69.36025,44.15625,0.0,400.4754,147.706,0.0,0.0,187.734,246.0783,-544.6577,156.0,25.203999999999994,-400.4754,147.706,-187.734,-557.8788,None,RS,2026-04-23
2026-01-01 08:00:00+00:00,319.7954,0.0,0.0,729.3231,272.0,0.0,112.6275,0.00075,0.0,579.3313,209.553,0.0,0.0,249.9553,319.7954,-729.3231,272.0,112.62675,-579.3313,209.553,-249.9553,-644.63455,None,RS,2026-04-23
2026-01-01 09:00:00+00:00,288.4229,0.0,0.0,678.0519,185.0,0.0,6.39575,13.19175,0.0,486.9381,193.2428,0.0,0.0,319.174,288.4229,-678.0519,185.0,-6.796000000000001,-486.9381,193.2428,-319.174,-824.2943,None,RS,2026-04-23
