,SE_3_DK_1,DK_1_SE_3,SE_3_FI,FI_SE_3,SE_3_NO_1,NO_1_SE_3,SE_3_SE_2,SE_2_SE_3,SE_3_SE_4,SE_4_SE_3,SE_3_DK_1_net_export,SE_3_FI_net_export,SE_3_NO_1_net_export,SE_3_SE_2_net_export,SE_3_SE_4_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,472.5325,0.0,1193.375,0.0,1179.6106272499999,0.0,0.0,6464.784668,3737.9782715,0.0,472.5325,1193.375,1179.6106272499999,-6464.784668,3737.9782715,118.71173074999979,None,SE_3,2026-04-23
2026-01-01 01:00:00+00:00,325.3425,0.0,1193.3500000000001,0.0,1327.59316175,0.0,0.0,5691.477173,3124.4294435,0.0,325.3425,1193.3500000000001,1327.59316175,-5691.477173,3124.4294435,279.2379322500001,None,SE_3,2026-04-23
2026-01-01 02:00:00+00:00,385.14,0.0,1183.375,0.0,1548.2595205,0.0,0.0,4903.151123,2228.08996575,0.0,385.14,1183.375,1548.2595205,-4903.151123,2228.08996575,441.7133632500004,None,SE_3,2026-04-23
2026-01-01 03:00:00+00:00,682.2175,0.0,1183.175,0.0,1600.3306445,0.0,0.0,4530.6132815,1592.3952637500001,0.0,682.2175,1183.175,1600.3306445,-4530.6132815,1592.3952637500001,527.5051267499998,None,SE_3,2026-04-23
2026-01-01 04:00:00+00:00,699.86,0.0,1072.175,0.0,1487.803666,0.0,0.0,4649.681274250001,1767.71746825,0.0,699.86,1072.175,1487.803666,-4649.681274250001,1767.71746825,377.874859999999,None,SE_3,2026-04-23
2026-01-01 05:00:00+00:00,702.3725,0.0,989.24,0.0,1366.8503325000001,0.0,0.0,4311.87683125,1566.4112245000001,0.0,702.3725,989.24,1366.8503325000001,-4311.87683125,1566.4112245000001,312.9972257500008,None,SE_3,2026-04-23
2026-01-01 06:00:00+00:00,648.86,0.0,1128.3,0.0,1396.89051325,0.0,0.0,4250.1513672500005,1340.7672425,0.0,648.86,1128.3,1396.89051325,-4250.1513672500005,1340.7672425,264.66638849999936,None,SE_3,2026-04-23
2026-01-01 07:00:00+00:00,652.72,0.0,1188.1499999999999,0.0,1477.72881525,0.0,0.0,4348.32678225,1005.06443775,0.0,652.72,1188.1499999999999,1477.72881525,-4348.32678225,1005.06443775,-24.663529250000238,None,SE_3,2026-04-23
2026-01-01 08:00:00+00:00,682.5475,0.0,1151.95,0.0,1495.5847135,0.0,0.0,4566.26147475,885.14236425,0.0,682.5475,1151.95,1495.5847135,-4566.26147475,885.14236425,-351.0368970000003,None,SE_3,2026-04-23
2026-01-01 09:00:00+00:00,701.8575,0.0,1178.2,0.0,1535.4389225,0.0,0.0,4968.829956,638.8463595000001,0.0,701.8575,1178.2,1535.4389225,-4968.829956,638.8463595000001,-914.4871739999996,None,SE_3,2026-04-23
2026-01-01 10:00:00+00:00,664.455,0.0,1178.175,0.0,1598.26712675,0.0,0.0,5202.30529775,422.72792825,0.0,664.455,1178.175,1598.26712675,-5202.30529775,422.72792825,-1338.6802427500002,None,SE_3,2026-04-23
2026-01-01 11:00:00+00:00,653.815,0.0,1192.0500000000002,0.0,1499.63085325,0.0,0.0,5621.683837750001,704.6237945,0.0,653.815,1192.0500000000002,1499.63085325,-5621.683837750001,704.6237945,-1571.5641900000003,None,SE_3,2026-04-23
2026-01-01 12:00:00+00:00,683.3425,0.0,1193.2,0.0,1535.61057425,0.0,0.0,6049.67309575,968.45741275,0.0,683.3425,1193.2,1535.61057425,-6049.67309575,968.45741275,-1669.0626087500004,None,SE_3,2026-04-23
2026-01-01 13:00:00+00:00,565.955,0.0,1193.075,0.0,1652.9762154999999,0.0,0.0,6423.15185525,1151.131058,0.0,565.955,1193.075,1652.9762154999999,-6423.15185525,1151.131058,-1860.0145817500002,None,SE_3,2026-04-23
2026-01-01 14:00:00+00:00,77.2475,0.0,1193.75,0.0,1575.53566825,0.0,0.0,6801.04882825,1686.374237,0.0,77.2475,1193.75,1575.53566825,-6801.04882825,1686.374237,-2268.141423,None,SE_3,2026-04-23
2026-01-01 15:00:00+00:00,17.125,102.70333875,1193.675,0.0,1567.8963804999999,0.0,0.0,7012.635498,1981.627808,0.0,-85.57833875,1193.675,1567.8963804999999,-7012.635498,1981.627808,-2355.0146482499995,None,SE_3,2026-04-23
2026-01-01 16:00:00+00:00,36.155,0.0,1193.625,0.0,1376.85335975,0.0,0.0,7151.16796875,2119.08520525,0.0,36.155,1193.625,1376.85335975,-7151.16796875,2119.08520525,-2425.4494037500003,None,SE_3,2026-04-23
2026-01-01 17:00:00+00:00,61.6575,0.0,1193.675,0.0,1088.977344,0.0,0.0,7291.824707,2580.89904775,0.0,61.6575,1193.675,1088.977344,-7291.824707,2580.89904775,-2366.61581525,None,SE_3,2026-04-23
2026-01-01 18:00:00+00:00,202.125,0.0,1193.6750000000002,0.0,1134.87326825,0.0,0.0,7290.78393575,2536.79669175,0.0,202.125,1193.6750000000002,1134.87326825,-7290.78393575,2536.79669175,-2223.3139757499994,None,SE_3,2026-04-23
2026-01-01 19:00:00+00:00,458.595,0.0,1177.375,0.0,983.6228505,0.0,0.0,7074.22705075,2547.96667475,0.0,458.595,1177.375,983.6228505,-7074.22705075,2547.96667475,-1906.6675254999996,None,SE_3,2026-04-23
2026-01-01 20:00:00+00:00,684.08,0.0,1170.05,0.0,1043.3112005,0.0,0.0,6769.409912,2318.45880125,0.0,684.08,1170.05,1043.3112005,-6769.409912,2318.45880125,-1553.5099102499998,None,SE_3,2026-04-23
