,SI_AT,AT_SI,SI_HR,HR_SI,SI_IT_NORD,IT_NORD_SI,SI_HU,HU_SI,SI_AT_net_export,SI_HR_net_export,SI_IT_NORD_net_export,SI_HU_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,978.5,1062.5,0.0,11.54,24.259999999999998,0.0,93.56825,-978.5,1062.5,-12.719999999999999,-93.56825,-22.288250000000005,None,SI,2026-04-23
2026-01-01 01:00:00+00:00,0.0,849.4,931.5,0.0,37.31,8.1,0.0,150.22975,-849.4,931.5,29.21,-150.22975,-38.919749999999965,None,SI,2026-04-23
2026-01-01 02:00:00+00:00,0.0,801.5,839.25,0.0,71.29,1.33,0.0,185.0685,-801.5,839.25,69.96000000000001,-185.0685,-77.35849999999999,None,SI,2026-04-23
2026-01-01 03:00:00+00:00,0.0,749.0999999999999,879.25,0.0,0.05,64.62,0.0,161.36675,-749.0999999999999,879.25,-64.57000000000001,-161.36675,-95.78674999999991,None,SI,2026-04-23
2026-01-01 04:00:00+00:00,0.0,713.5,752.25,0.0,89.15,1.98,0.0,176.035,-713.5,752.25,87.17,-176.035,-50.114999999999995,None,SI,2026-04-23
2026-01-01 05:00:00+00:00,0.0,585.9,759.25,0.0,45.790000000000006,26.53,0.0,206.7305,-585.9,759.25,19.260000000000005,-206.7305,-14.120499999999993,None,SI,2026-04-23
2026-01-01 06:00:00+00:00,0.0,438.7,361.25,0.0,148.79,0.11,0.0,294.099,-438.7,361.25,148.67999999999998,-294.099,-222.869,None,SI,2026-04-23
2026-01-01 07:00:00+00:00,145.7,50.6,25.0,147.0,64.13,0.0,0.0,331.91150000000005,95.1,-122.0,64.13,-331.91150000000005,-294.6815,None,SI,2026-04-23
2026-01-01 08:00:00+00:00,374.7,0.0,0.0,336.75,163.5,0.0,0.0,365.789,374.7,-336.75,163.5,-365.789,-164.339,None,SI,2026-04-23
2026-01-01 09:00:00+00:00,215.1,0.0,0.0,264.25,328.5,0.0,0.0,365.376,215.1,-264.25,328.5,-365.376,-86.02599999999995,None,SI,2026-04-23
2026-01-01 10:00:00+00:00,46.4,7.0,0.0,139.25,408.25,0.0,0.0,347.0535,39.4,-139.25,408.25,-347.0535,-38.65350000000001,None,SI,2026-04-23
2026-01-01 11:00:00+00:00,28.799999999999997,0.0,0.0,301.0,640.0,0.0,0.0,422.16025,28.799999999999997,-301.0,640.0,-422.16025,-54.36025000000001,None,SI,2026-04-23
2026-01-01 12:00:00+00:00,31.1,12.3,5.5,90.0,390.5,0.0,0.0,355.43275,18.8,-84.5,390.5,-355.43275,-30.632749999999987,None,SI,2026-04-23
2026-01-01 13:00:00+00:00,0.0,358.7,244.5,12.75,328.25,0.0,0.0,280.42674999999997,-358.7,231.75,328.25,-280.42674999999997,-79.12674999999996,None,SI,2026-04-23
2026-01-01 14:00:00+00:00,0.0,494.8,473.75,0.0,350.47,0.0,0.0,86.1155,-494.8,473.75,350.47,-86.1155,243.30450000000002,None,SI,2026-04-23
2026-01-01 15:00:00+00:00,0.0,342.5,398.0,0.0,482.55,0.0,0.0,50.71975,-342.5,398.0,482.55,-50.71975,487.33025,None,SI,2026-04-23
2026-01-01 16:00:00+00:00,6.7,66.3,565.75,0.0,187.0,0.0,4.84525,7.070250000000001,-59.599999999999994,565.75,187.0,-2.2250000000000005,690.925,None,SI,2026-04-23
2026-01-01 17:00:00+00:00,4.8,7.2,505.75,0.0,162.35,0.0,3.66675,4.2372499999999995,-2.4000000000000004,505.75,162.35,-0.5704999999999996,665.1295,None,SI,2026-04-23
2026-01-01 18:00:00+00:00,0.0,138.5,433.5,0.0,110.93,0.08,0.9425,25.731,-138.5,433.5,110.85000000000001,-24.788500000000003,381.0615,None,SI,2026-04-23
2026-01-01 19:00:00+00:00,0.0,245.8,449.5,0.0,66.0,0.0,0.0,68.4315,-245.8,449.5,66.0,-68.4315,201.2685,None,SI,2026-04-23
2026-01-01 20:00:00+00:00,0.0,350.1,507.75,0.0,13.0,35.25,0.0,106.042,-350.1,507.75,-22.25,-106.042,29.357999999999976,None,SI,2026-04-23
2026-01-01 21:00:00+00:00,0.0,334.4,399.0,0.0,79.5,0.0,0.0,177.93449999999999,-334.4,399.0,79.5,-177.93449999999999,-33.83449999999996,None,SI,2026-04-23
2026-01-01 22:00:00+00:00,0.0,402.7,353.25,0.0,142.38,6.14,0.0,229.9575,-402.7,353.25,136.24,-229.9575,-143.1675,None,SI,2026-04-23
2026-01-01 23:00:00+00:00,0.0,452.0,216.0,0.0,381.03,0.58,0.0,242.46275,-452.0,216.0,380.45,-242.46275,-98.01275000000001,None,SI,2026-04-23
2026-01-02 00:00:00+00:00,0.0,390.4,88.75,0.0,512.25,0.0,0.0,273.41725,-390.4,88.75,512.25,-273.41725,-62.81725,None,SI,2026-04-23
2026-01-02 01:00:00+00:00,0.0,345.2,35.5,0.25,538.25,0.0,0.0,264.4315,-345.2,35.25,538.25,-264.4315,-36.13150000000002,None,SI,2026-04-23
2026-01-02 02:00:00+00:00,0.0,274.1,0.0,101.25,646.14,0.0,0.0,293.21,-274.1,-101.25,646.14,-293.21,-22.420000000000016,None,SI,2026-04-23
2026-01-02 03:00:00+00:00,0.0,221.6,0.0,154.5,636.95,0.0,0.0,290.0085,-221.6,-154.5,636.95,-290.0085,-29.158500000000004,None,SI,2026-04-23
2026-01-02 04:00:00+00:00,0.0,209.7,19.25,63.0,614.6800000000001,0.0,0.0,277.95825,-209.7,-43.75,614.6800000000001,-277.95825,83.27175000000005,None,SI,2026-04-23
2026-01-02 05:00:00+00:00,0.0,467.6,62.0,0.0,703.51,0.0,0.0,274.3405,-467.6,62.0,703.51,-274.3405,23.569499999999948,None,SI,2026-04-23
2026-01-02 06:00:00+00:00,0.0,298.4,211.5,0.0,270.25,0.0,0.0,212.7255,-298.4,211.5,270.25,-212.7255,-29.375499999999988,None,SI,2026-04-23
2026-01-02 07:00:00+00:00,124.1,0.0,15.25,20.75,108.35000000000001,0.18,0.0,205.5695,124.1,-5.5,108.17,-205.5695,21.200499999999977,None,SI,2026-04-23
2026-01-02 08:00:00+00:00,151.0,0.0,0.0,83.5,83.39,3.42,0.0,207.667,151.0,-83.5,79.97,-207.667,-60.197,None,SI,2026-04-23
2026-01-02 09:00:00+00:00,15.9,90.4,0.0,259.0,468.57,0.18,0.0,279.57875,-74.5,-259.0,468.39,-279.57875,-144.68875000000003,None,SI,2026-04-23
2026-01-02 10:00:00+00:00,0.0,168.9,0.0,425.75,646.81,0.0,0.0,301.1905,-168.9,-425.75,646.81,-301.1905,-249.03050000000002,None,SI,2026-04-23
2026-01-02 11:00:00+00:00,0.0,158.6,0.0,259.0,372.63,0.0,0.0,252.48825,-158.6,-259.0,372.63,-252.48825,-297.45825,None,SI,2026-04-23
2026-01-02 12:00:00+00:00,0.0,92.2,29.25,82.75,82.17999999999999,8.94,0.0,182.9555,-92.2,-53.5,73.24,-182.9555,-255.4155,None,SI,2026-04-23
2026-01-02 13:00:00+00:00,0.0,238.1,215.0,0.0,0.49,75.02,0.23325,85.515,-238.1,215.0,-74.53,-85.28175,-182.91174999999998,None,SI,2026-04-23
2026-01-02 14:00:00+00:00,0.0,275.1,393.0,0.0,1.4700000000000002,84.76,43.533500000000004,1.43125,-275.1,393.0,-83.29,42.102250000000005,76.71224999999998,None,SI,2026-04-23
2026-01-02 15:00:00+00:00,0.0,104.0,443.75,0.0,66.65,0.69,122.96024999999999,0.0,-104.0,443.75,65.96000000000001,122.96024999999999,528.67025,None,SI,2026-04-23
2026-01-02 16:00:00+00:00,0.0,26.6,497.0,0.0,47.88,5.290000000000001,133.18625,0.0,-26.6,497.0,42.59,133.18625,646.17625,None,SI,2026-04-23
2026-01-02 17:00:00+00:00,10.7,8.2,462.0,0.0,118.59,4.04,99.7245,0.0,2.5,462.0,114.55,99.7245,678.7745,None,SI,2026-04-23
