,SK_CZ,CZ_SK,SK_HU,HU_SK,SK_PL,PL_SK,SK_CZ_net_export,SK_HU_net_export,SK_PL_net_export,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,1652.5,2553.18225,0.0,0.0,853.912,-1652.5,2553.18225,-853.912,46.770249999999805,None,SK,2026-04-23
2026-01-01 01:00:00+00:00,0.0,1804.9,2612.07175,0.0,0.0,1013.6899999999999,-1804.9,2612.07175,-1013.6899999999999,-206.51824999999997,None,SK,2026-04-23
2026-01-01 02:00:00+00:00,0.0,1825.65,2722.5045,0.0,0.0,1028.33925,-1825.65,2722.5045,-1028.33925,-131.48475000000008,None,SK,2026-04-23
2026-01-01 03:00:00+00:00,0.0,1895.9,2753.93025,0.0,0.0,1064.32175,-1895.9,2753.93025,-1064.32175,-206.29150000000027,None,SK,2026-04-23
2026-01-01 04:00:00+00:00,0.0,1888.15,2726.33425,0.0,0.0,1090.17875,-1888.15,2726.33425,-1090.17875,-251.99450000000024,None,SK,2026-04-23
2026-01-01 05:00:00+00:00,0.0,2024.325,2903.75875,0.0,0.0,1315.4005,-2024.325,2903.75875,-1315.4005,-435.96675000000005,None,SK,2026-04-23
2026-01-01 06:00:00+00:00,0.0,1758.6,2928.5035,0.0,0.0,1300.9927500000001,-1758.6,2928.5035,-1300.9927500000001,-131.08925000000022,None,SK,2026-04-23
2026-01-01 07:00:00+00:00,0.0,1147.325,2223.359,0.0,0.0,1019.8625,-1147.325,2223.359,-1019.8625,56.171499999999924,None,SK,2026-04-23
2026-01-01 08:00:00+00:00,0.0,951.375,1849.00375,0.0,0.0,1054.681,-951.375,1849.00375,-1054.681,-157.05224999999996,None,SK,2026-04-23
2026-01-01 09:00:00+00:00,0.0,985.65,1810.5015,0.0,0.0,1066.554,-985.65,1810.5015,-1066.554,-241.7025,None,SK,2026-04-23
2026-01-01 10:00:00+00:00,0.0,1202.55,1824.8185,0.0,0.0,1218.1009999999999,-1202.55,1824.8185,-1218.1009999999999,-595.8324999999998,None,SK,2026-04-23
2026-01-01 11:00:00+00:00,0.0,1033.1,1696.81725,0.0,0.0,1167.1064999999999,-1033.1,1696.81725,-1167.1064999999999,-503.3892499999997,None,SK,2026-04-23
2026-01-01 12:00:00+00:00,0.0,1150.925,1759.9625,0.0,0.0,1110.7425,-1150.925,1759.9625,-1110.7425,-501.7049999999999,None,SK,2026-04-23
2026-01-01 13:00:00+00:00,0.0,1741.225,2424.92425,0.0,0.0,1308.8890000000001,-1741.225,2424.92425,-1308.8890000000001,-625.18975,None,SK,2026-04-23
2026-01-01 14:00:00+00:00,0.0,2105.575,2969.193,0.0,0.0,1377.99,-2105.575,2969.193,-1377.99,-514.3719999999996,None,SK,2026-04-23
2026-01-01 15:00:00+00:00,0.0,2005.05,2923.03075,0.0,0.0,1324.67175,-2005.05,2923.03075,-1324.67175,-406.69100000000003,None,SK,2026-04-23
2026-01-01 16:00:00+00:00,0.0,1854.4,2870.10425,0.0,0.0,1293.6354999999999,-1854.4,2870.10425,-1293.6354999999999,-277.9312500000001,None,SK,2026-04-23
2026-01-01 17:00:00+00:00,0.0,1840.7749999999999,2878.79875,0.0,0.0,1361.6487499999998,-1840.7749999999999,2878.79875,-1361.6487499999998,-323.6249999999998,None,SK,2026-04-23
2026-01-01 18:00:00+00:00,0.0,1923.8,2909.1805,0.0,0.0,1361.41275,-1923.8,2909.1805,-1361.41275,-376.03225,None,SK,2026-04-23
2026-01-01 19:00:00+00:00,0.0,2120.55,3078.2495,0.0,0.0,1432.5082499999999,-2120.55,3078.2495,-1432.5082499999999,-474.80875000000015,None,SK,2026-04-23
2026-01-01 20:00:00+00:00,0.0,2144.45,3075.2005,0.0,0.0,1417.96575,-2144.45,3075.2005,-1417.96575,-487.21524999999997,None,SK,2026-04-23
2026-01-01 21:00:00+00:00,0.0,1969.15,3012.93525,0.0,0.0,1359.40425,-1969.15,3012.93525,-1359.40425,-315.61900000000014,None,SK,2026-04-23
2026-01-01 22:00:00+00:00,0.0,2079.4,3138.7025,0.0,0.0,1439.2155,-2079.4,3138.7025,-1439.2155,-379.91300000000024,None,SK,2026-04-23
2026-01-01 23:00:00+00:00,0.0,2029.375,3041.24725,0.0,0.0,1398.90075,-2029.375,3041.24725,-1398.90075,-387.0285000000001,None,SK,2026-04-23
2026-01-02 00:00:00+00:00,0.0,2035.475,3053.978,0.0,0.0,1455.8665,-2035.475,3053.978,-1455.8665,-437.36349999999993,None,SK,2026-04-23
2026-01-02 01:00:00+00:00,0.0,2029.525,2906.24525,0.0,0.0,1400.80925,-2029.525,2906.24525,-1400.80925,-524.0890000000002,None,SK,2026-04-23
2026-01-02 02:00:00+00:00,0.0,1888.75,2872.7855,0.0,0.0,1373.76875,-1888.75,2872.7855,-1373.76875,-389.73325,None,SK,2026-04-23
2026-01-02 03:00:00+00:00,0.0,1861.8,2869.474,0.0,0.0,1403.99525,-1861.8,2869.474,-1403.99525,-396.32124999999974,None,SK,2026-04-23
2026-01-02 04:00:00+00:00,0.0,1844.3,2807.72575,0.0,0.0,1299.2385,-1844.3,2807.72575,-1299.2385,-335.8127499999998,None,SK,2026-04-23
2026-01-02 05:00:00+00:00,0.0,1982.95,2899.41825,0.0,0.0,1383.66125,-1982.95,2899.41825,-1383.66125,-467.193,None,SK,2026-04-23
2026-01-02 06:00:00+00:00,0.0,1912.2,2758.58775,0.0,0.0,1279.49725,-1912.2,2758.58775,-1279.49725,-433.1094999999998,None,SK,2026-04-23
2026-01-02 07:00:00+00:00,0.0,1529.0500000000002,2254.28275,0.0,0.0,1058.8577500000001,-1529.0500000000002,2254.28275,-1058.8577500000001,-333.62500000000045,None,SK,2026-04-23
2026-01-02 08:00:00+00:00,0.0,1409.925,1943.37375,0.0,0.0,969.79175,-1409.925,1943.37375,-969.79175,-436.34299999999996,None,SK,2026-04-23
2026-01-02 09:00:00+00:00,0.0,1517.35,2089.55225,0.0,0.0,1091.89275,-1517.35,2089.55225,-1091.89275,-519.6904999999997,None,SK,2026-04-23
2026-01-02 10:00:00+00:00,0.0,1566.65,1966.449,0.0,0.0,1084.263,-1566.65,1966.449,-1084.263,-684.4639999999999,None,SK,2026-04-23
2026-01-02 11:00:00+00:00,0.0,1502.725,1870.9925,0.0,0.0,1032.205,-1502.725,1870.9925,-1032.205,-663.9374999999998,None,SK,2026-04-23
2026-01-02 12:00:00+00:00,0.0,1334.575,1683.01375,0.0,0.0,847.5365,-1334.575,1683.01375,-847.5365,-499.09775,None,SK,2026-04-23
2026-01-02 13:00:00+00:00,0.0,1437.55,1915.5005,0.0,0.0,846.6297500000001,-1437.55,1915.5005,-846.6297500000001,-368.6792499999999,None,SK,2026-04-23
2026-01-02 14:00:00+00:00,0.0,1514.55,2226.61275,0.0,0.0,882.672,-1514.55,2226.61275,-882.672,-170.6092500000002,None,SK,2026-04-23
2026-01-02 15:00:00+00:00,0.0,1519.4,2371.34,0.0,0.0,910.18575,-1519.4,2371.34,-910.18575,-58.24574999999993,None,SK,2026-04-23
2026-01-02 16:00:00+00:00,0.0,1406.475,2305.98125,0.0,0.0,790.01275,-1406.475,2305.98125,-790.01275,109.49349999999993,None,SK,2026-04-23
2026-01-02 17:00:00+00:00,0.0,1428.4,2343.5625,0.0,0.0,828.3885,-1428.4,2343.5625,-828.3885,86.77399999999989,None,SK,2026-04-23
2026-01-02 18:00:00+00:00,0.0,1461.45,2467.339,0.0,0.0,871.48375,-1461.45,2467.339,-871.48375,134.4052499999999,None,SK,2026-04-23
2026-01-02 19:00:00+00:00,0.0,1579.775,2513.38725,0.0,0.0,949.967,-1579.775,2513.38725,-949.967,-16.354749999999854,None,SK,2026-04-23
2026-01-02 20:00:00+00:00,0.0,1472.2,2508.38375,0.0,0.0,967.1375,-1472.2,2508.38375,-967.1375,69.04624999999987,None,SK,2026-04-23
2026-01-02 21:00:00+00:00,0.0,1337.15,2525.404,0.0,0.0,1149.63475,-1337.15,2525.404,-1149.63475,38.619249999999965,None,SK,2026-04-23
2026-01-02 22:00:00+00:00,0.0,1448.85,2542.7385,0.0,0.0,1243.0605,-1448.85,2542.7385,-1243.0605,-149.17200000000003,None,SK,2026-04-23
2026-01-02 23:00:00+00:00,0.0,1121.95,2409.96875,0.0,0.0,1175.51675,-1121.95,2409.96875,-1175.51675,112.50199999999995,None,SK,2026-04-23
2026-01-03 00:00:00+00:00,0.0,810.8,2154.4185,0.0,0.0,1116.0162500000001,-810.8,2154.4185,-1116.0162500000001,227.60225000000014,None,SK,2026-04-23
2026-01-03 01:00:00+00:00,0.0,719.7,1915.05275,0.0,0.0,1120.4234999999999,-719.7,1915.05275,-1120.4234999999999,74.92925000000014,None,SK,2026-04-23
2026-01-03 02:00:00+00:00,0.0,645.525,1728.51675,0.0,0.0,1111.13825,-645.525,1728.51675,-1111.13825,-28.146499999999833,None,SK,2026-04-23
2026-01-03 03:00:00+00:00,0.0,649.95,1690.9835,0.0,0.0,1079.327,-649.95,1690.9835,-1079.327,-38.293499999999995,None,SK,2026-04-23
2026-01-03 04:00:00+00:00,0.0,813.1,1777.35475,0.0,0.0,1107.01025,-813.1,1777.35475,-1107.01025,-142.7555000000001,None,SK,2026-04-23
2026-01-03 05:00:00+00:00,0.0,996.975,2093.506,0.0,0.0,1126.45025,-996.975,2093.506,-1126.45025,-29.919250000000147,None,SK,2026-04-23
2026-01-03 06:00:00+00:00,0.0,1342.7,2289.989,0.0,0.0,1187.5520000000001,-1342.7,2289.989,-1187.5520000000001,-240.26300000000015,None,SK,2026-04-23
2026-01-03 07:00:00+00:00,0.0,1234.875,2130.98775,0.0,0.0,1016.86375,-1234.875,2130.98775,-1016.86375,-120.7510000000002,None,SK,2026-04-23
2026-01-03 08:00:00+00:00,0.0,743.125,1545.646,0.0,0.0,772.5325,-743.125,1545.646,-772.5325,29.98849999999993,None,SK,2026-04-23
2026-01-03 09:00:00+00:00,0.0,545.3,1405.728,0.0,0.0,764.1155,-545.3,1405.728,-764.1155,96.31250000000011,None,SK,2026-04-23
2026-01-03 10:00:00+00:00,0.0,692.5,1453.33525,0.0,0.0,813.71,-692.5,1453.33525,-813.71,-52.87474999999995,None,SK,2026-04-23
2026-01-03 11:00:00+00:00,0.0,667.175,1484.89975,0.0,0.0,827.8635,-667.175,1484.89975,-827.8635,-10.138749999999959,None,SK,2026-04-23
2026-01-03 12:00:00+00:00,0.0,1018.8,1842.44225,0.0,0.0,885.36225,-1018.8,1842.44225,-885.36225,-61.719999999999914,None,SK,2026-04-23
