,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,6.450948867711504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.06540907253055,0.0,1.2964689679740888,6.963995989226042,0.0,9.112219213652617,0.0,0.0,0.0,0.0,0.0,9.64521201159752,4.919933519491403,0.0,0.0,0.0,25.4927906642836,18.619288947750903,94.18089855356132,271.69963497012924,0.0,0.0,16.195889261460884,0.0,12.115151609558406,0.0,0.0,0.3989135286074109,0.0,23.218244822464673,0.0,CZ,2026-04-23
2026-01-01 08:00:00+00:00,1.8407646646315505,0.0,66.46575248166116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9346319257215,0.0,3.238928700899158,30.486482598162052,0.0,32.24704954209859,0.0,0.0,0.0,0.0,0.0,19.799001442146736,0.43957429928110325,0.0,0.0,0.0,0.0,41.195904640027884,198.22379834311602,540.1679648298444,0.0,0.0,44.82825612169499,0.0,39.15313250911741,0.0,0.0,7.913850551601318,0.0,23.839907349995936,0.0,CZ,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,164.1182571952599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.16023087091159,0.0,6.989379049475325,39.66644208945375,0.0,27.978029106275415,0.0,0.0,0.0,0.0,0.0,28.79696752521157,0.0,0.0,0.0,0.0,40.88301534764214,41.93706325486634,208.31962995142368,557.4114604943118,0.0,0.0,50.23058990212726,0.0,58.53279508754648,0.0,0.0,6.4536765577049495,0.0,17.97246356778958,0.0,CZ,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,175.81666937049582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.89647926299665,0.0,7.964909646227869,47.21927875112374,0.0,3.110467918627434,0.0,0.0,0.0,0.0,0.0,35.44085624511333,0.0,0.0,0.0,0.0,52.98354334374844,48.71511905145376,236.5381065972456,618.5158856895201,0.0,0.0,57.2273302663906,0.0,77.44933131473448,0.0,0.0,0.0,0.0,18.522022542321753,0.0,CZ,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,321.051223380277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20432604234418703,0.0,0.0,127.1929613592584,0.0,6.252900808661311,49.84682244983095,0.0,3.7992419241007362,0.0,0.0,0.0,0.0,0.0,9.979668110904914,0.0,0.0,0.0,0.0,51.368789508830616,51.30417358090982,245.0183595464293,581.1460506494191,0.0,0.0,54.48956418976282,0.0,88.17454596545439,0.0,0.0,0.0,0.0,19.82137248381674,0.0,CZ,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,281.61987641128616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.44815384938401,0.0,13.923009336561552,40.866603310506704,0.0,0.59519922381337,0.0,0.0,0.0,0.0,0.0,13.943063218765506,0.0,0.0,0.0,0.0,43.33804375332206,50.07374170798631,234.1338876628981,561.4308926477755,0.0,0.0,36.29993325502218,0.0,72.32232078034163,0.0,0.0,4.46800495504107,0.0,18.337269887296024,0.0,CZ,2026-04-23
2026-01-01 13:00:00+00:00,0.0,0.0,145.69795887261137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.651990294183317,0.0,8.179255499408526,12.032763821960259,1.619946173811556,0.0,0.0,0.0,0.0,0.0,0.0,6.431677202811822,0.3858417250351164,0.0,0.0,0.0,9.774329772369645,21.57375589293038,99.04089097201218,243.5034363484339,0.0,0.0,6.23204747230171,0.0,28.792497852917315,0.0,0.0,2.0421139645624464,0.0,7.016494134650458,0.0,CZ,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.0,21.528903261109765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5118112499665446,0.0,4.3584144658254615,0.0,1.0456452592129852,0.8552268360455824,0.47514538952956814,0.0,0.0,0.0,0.0,0.0,0.0,0.44068761577500865,0.7463914062012115,0.0,0.0,0.0,4.450108170690039,4.429189454751351,18.265118714320383,44.50654381606216,0.0,0.0,0.0,0.0,4.170378452554374,0.0,0.0,0.0923909953958681,0.0,2.163924948768634,0.31011996379103696,CZ,2026-04-23
2026-01-01 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 17:00:00+00:00,0.0,0.0,19.415553079608273,0.0,0.0,0.0,0.0,0.9312669492401201,0.0,0.0,0.0,1.9123470285187807,0.0,7.0557515237319315,0.0,3.376954268461824,0.1855159530898333,0.7505949434834969,0.0,0.0,0.0,0.0,0.0,0.0,0.9062519376387628,1.3625228573386616,0.0,0.33567832041936824,0.0,3.6604336340367416,6.300457228358005,23.246898527013826,49.52986756612995,0.0,6.173357834152267,0.0,0.0,3.263519143599023,0.0,0.0,0.0,0.0,4.199051658401223,0.3189775467779993,CZ,2026-04-23
2026-01-01 18:00:00+00:00,0.0,0.0,10.555095472854818,0.0,0.0,0.0,0.0,0.5559608654673532,0.0,0.0,0.0,0.5778221194562954,0.0,3.758402008315692,0.0,1.9687391188997931,0.6971921770813887,0.4450054873880759,0.0,0.0,0.0,0.0,0.0,0.0,0.2573031538157014,0.6516091372719734,0.0,0.8964382680185489,0.0,1.300850324402011,3.717385729071447,13.363907189430295,28.59515448989678,0.0,3.923312821771934,0.0,0.0,2.4465999145072277,0.0,0.0,0.0,0.0,2.7696559695856107,0.2695657527650117,CZ,2026-04-23
2026-01-01 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
2026-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ,2026-04-23
