,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12.262624618711897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9565514889131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.521069815935235,0.0,0.0,0.0,38.776992097113656,37.122803257275976,172.04616068556285,353.11904866922225,0.0,1.1100016278628102,32.21518152608263,2.5613623661373524,11.854045820462238,0.0,0.0,0.0,0.0,34.50415802672021,0.0,RO,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,10.611020282796511,0.0,0.0,12.425442831286894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.825482949896305,0.0,0.21018670724528649,0.0,0.0,0.0,0.0,0.0,3.134622298863485,0.0,13.525798647325056,0.0,0.0,0.0,0.0,30.020342516444355,160.2020359736304,359.8368024430218,0.0,4.675234055753264,23.090998043530824,0.0,12.355569952932383,0.0,0.0,0.0,0.0,34.81146329727339,0.0,RO,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.0,52.705542855543996,0.0,0.0,11.489796803448886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5059433873819662,0.0,17.03964071503791,0.0,2.966425966018476,0.0,13.67778004888142,0.0,0.0,0.0,0.0,0.0,11.742324687150928,0.0,0.0,0.0,11.693505588368458,19.26446018955176,119.62543203658768,298.38011270851456,0.0,0.0,13.88237645377886,0.0,10.868906628933644,0.0,0.0,0.0,0.0,26.83275193080147,0.0,RO,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,52.345425366658546,0.0,0.0,11.418785678844516,5.215685826370515,0.0,0.0,0.0,0.0,0.0,0.0,9.344993331470523,0.0,13.929447437316197,0.0,3.265821740511999,0.0,14.772427086689419,0.0,0.0,0.0,0.0,2.2458654011328756,9.673091174907162,0.0,0.0,0.0,0.0,16.925123399129003,115.22787345792564,307.4446191344405,0.0,0.0,8.466350873028103,0.0,7.395575030725372,0.0,0.0,0.0,0.0,26.97891506084988,0.0,RO,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,35.11723956912551,0.0,0.0,10.43138373309092,20.365105098498013,0.0,0.0,0.0,0.0,0.0,0.0,24.251778096817414,0.0,7.2095956686589435,0.0,3.4235566098812407,0.0,15.756971866946838,0.0,0.0,0.0,0.0,5.7246192274615595,9.517166948995689,0.0,0.0,0.0,0.0,19.099420525555665,129.05476646719043,348.6189972252717,0.0,0.0,8.240467716004002,0.0,6.939235831084238,0.0,0.0,0.0,0.0,29.824695415417604,0.0,RO,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8.273092196451163,18.621207051033196,0.0,0.0,0.0,0.0,0.0,0.0,30.87814639883329,0.0,2.538203619839371,0.0,0.0,0.0,9.618455822549194,0.0,0.0,0.0,0.0,5.2366447109132475,5.790989222995861,0.0,0.0,0.0,0.0,14.51954854227771,86.98861039602279,263.7698116201523,0.0,0.0,0.6286778685415092,0.0,5.031526722571484,0.0,0.0,2.976840548754836,0.0,20.203245279064035,0.0,RO,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,3.510230372349274,0.0,0.0,1.0455045320743872,2.8039375163325313,0.0,0.0,0.0,0.0,0.0,0.0,9.112973877311848,0.0,0.1957943242346301,0.0,0.0,0.0,1.359147044235148,0.0,0.0,0.0,0.0,1.7279092418898883,2.038543617121602,0.0,0.0,0.0,0.13439294103588018,4.268103929237588,21.910650068857603,66.98811279829593,0.0,0.0,0.5683609303584559,0.0,2.0906551656865364,0.0,0.0,0.0,0.0,5.145683640978796,0.0,RO,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO,2026-04-23
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RO,2026-04-23
