,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR,bidding_zone,source_download_date
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,13.489618886309291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.95459115450358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37428209312152,0.0,0.0,0.0,42.657005430085256,40.83729898801198,189.2610440801995,388.4520268829918,0.0,1.221068033037864,35.43862220792461,2.8176514590689403,13.040157825175292,0.0,0.0,0.0,0.0,37.95663295957089,0.0,SE_3,2026-04-23
2026-01-01 01:00:00+00:00,0.0,0.0,8.87350325630398,0.0,0.0,10.390820532423406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.450426262769355,0.0,0.17576937763437392,0.0,0.0,0.0,0.0,0.0,2.621338988612092,0.0,11.310996976957952,0.0,0.0,0.0,0.0,25.104617649908445,133.96951942343185,300.9147992481882,0.0,3.9096810214348574,19.30992881643792,0.0,10.332389090669277,0.0,0.0,0.0,0.0,29.111209355228198,0.0,SE_3,2026-04-23
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE_3,2026-04-23
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE_3,2026-04-23
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE_3,2026-04-23
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE_3,2026-04-23
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE_3,2026-04-23
2026-01-01 07:00:00+00:00,0.0,0.0,1.2816141367252665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.953173638338189,0.0,0.2575703189181621,1.3835415364339079,0.0,1.8103304181512943,0.0,0.0,0.0,0.0,0.0,1.916220438150983,0.9774463384586645,0.0,0.0,0.0,5.064669023103609,3.699106041693903,18.710979341330976,53.9787402228073,0.0,0.0,3.217647676331494,0.0,2.4069249175258394,0.0,0.0,0.07925240582097276,0.0,4.612783546209581,0.0,SE_3,2026-04-23
2026-01-01 08:00:00+00:00,0.813646016366781,0.0,29.378874861414577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.404568382781655,0.0,1.4316558142483282,13.475489613439958,0.0,14.253687015858983,0.0,0.0,0.0,0.0,0.0,8.751460173572658,0.19429853494003158,0.0,0.0,0.0,0.0,18.209217259009943,87.61793778959314,238.76246714064686,0.0,0.0,19.814771934134036,0.0,17.306280866001188,0.0,0.0,3.498042470693187,0.0,10.5376021272985,0.0,SE_3,2026-04-23
2026-01-01 09:00:00+00:00,0.0,0.0,111.45592268798045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.13285066801096,0.0,4.746624198235828,26.93825768311352,0.0,19.000427510761813,0.0,0.0,0.0,0.0,0.0,19.55658462982365,0.0,0.0,0.0,0.0,27.764456409118676,28.480280986254144,141.4739406026618,378.5490396253284,0.0,0.0,34.112577359643346,0.0,39.75076749826347,0.0,0.0,4.3828181444371905,0.0,12.205451996366651,0.0,SE_3,2026-04-23
2026-01-01 10:00:00+00:00,0.0,0.0,167.82101313065348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3074870201557,0.0,7.602687567168686,45.071876447695544,0.0,2.969012433709823,0.0,0.0,0.0,0.0,0.0,33.82910404666594,0.0,0.0,0.0,0.0,50.57399821664407,46.499690065038315,225.7810072007754,590.3874925254252,0.0,0.0,54.62478943808181,0.0,73.92714976382977,0.0,0.0,0.0,0.0,17.679692144156068,0.0,SE_3,2026-04-23
2026-01-01 11:00:00+00:00,0.0,0.0,332.45999545951895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21158690627242455,0.0,0.0,131.7128491545863,0.0,6.475101862465198,51.61816295499066,0.0,3.934250552099719,0.0,0.0,0.0,0.0,0.0,10.334302358066571,0.0,0.0,0.0,0.0,53.19421414145579,53.12730204289102,253.7252524523752,601.7974680986451,0.0,0.0,56.425887658625264,0.0,91.30788801448615,0.0,0.0,0.0,0.0,20.525738343521844,0.0,SE_3,2026-04-23
2026-01-01 12:00:00+00:00,0.0,0.0,334.9643219362232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.68664558969299,0.0,16.560306187060533,48.60755654813539,0.0,0.7079418788269232,0.0,0.0,0.0,0.0,0.0,16.584158676239337,0.0,0.0,0.0,0.0,51.547137314531284,59.5587113799082,278.48353575994787,667.7771493485182,0.0,0.0,43.17586771233798,0.0,86.0216169744413,0.0,0.0,5.314334589037689,0.0,21.810716105099026,0.0,SE_3,2026-04-23
2026-01-01 13:00:00+00:00,0.0,0.0,455.453734736182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.44048516414692,0.0,25.568460213119394,37.614577886447165,5.063973034647343,0.0,0.0,0.0,0.0,0.0,0.0,20.105507484833183,1.2061463046160044,0.0,0.0,0.0,30.554683358749937,67.43984452323679,309.6031271394947,761.1949430462234,0.0,0.0,19.48146232298775,0.0,90.00572678550974,0.0,0.0,6.383675098222105,0.0,21.933652901583645,0.0,SE_3,2026-04-23
2026-01-01 14:00:00+00:00,0.0,0.0,616.0177254991887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.644721947300686,0.0,124.7095838305218,0.0,29.919592579663487,24.471051030191216,13.595582579822631,0.0,0.0,0.0,0.0,0.0,0.0,12.609624346994604,21.356886173146854,0.0,0.0,0.0,127.333263579936,126.73470546219889,522.629357840698,1273.4889259745469,0.0,0.0,0.0,0.0,119.32921141664065,0.0,0.0,2.6436316866721277,0.0,61.917511957025184,8.873624095452305,SE_3,2026-04-23
2026-01-01 15:00:00+00:00,0.0,0.0,813.6847118432653,0.0,0.0,0.40365783365267827,0.0,0.0,0.0,0.0,0.0,38.02337485274279,0.0,159.3792250390671,0.0,90.42730858714216,19.401426024380896,21.849223035348704,0.0,0.0,0.0,0.0,0.0,0.0,12.994600704041119,28.454894579162723,0.0,0.0,0.0,51.87500277995788,165.68265032320033,645.918153098055,1445.5842061863868,0.0,0.0,0.0,0.0,78.42495053823745,0.0,0.0,0.0,0.0,116.92157940284895,12.575035172510484,SE_3,2026-04-23
2026-01-01 16:00:00+00:00,0.0,0.0,788.8716877773961,0.0,0.0,3.2610253910377107,0.0,4.601775419845603,0.0,0.0,0.0,53.82126363859311,0.0,163.5389888918943,0.0,60.9056261303255,6.789818243738177,18.44535417663796,0.0,0.0,0.0,0.0,0.0,0.0,30.43368681653497,38.81480896523133,0.0,0.0,0.0,3.352831384451093,168.65908564955294,646.1038048952787,1378.817001451766,0.0,84.09428996665469,0.0,0.0,72.37372480754668,0.0,0.0,0.0,0.0,108.36932472504216,4.6209016684733815,SE_3,2026-04-23
2026-01-01 17:00:00+00:00,0.0,0.0,516.5150587845607,0.0,0.0,0.0,0.0,24.774643352090592,0.0,0.0,0.0,50.87447335658319,0.0,187.70528442361433,0.0,89.83765362415953,4.935310522588643,19.968197133871936,0.0,0.0,0.0,0.0,0.0,0.0,24.109165004149947,36.24741313667411,0.0,8.930103958058902,0.0,97.37910045154462,167.6120696810252,618.4409534977575,1317.6509756181138,0.0,164.23082420218233,0.0,0.0,86.81992088450967,0.0,0.0,0.0,0.0,111.7080417583589,8.485810610156328,SE_3,2026-04-23
2026-01-01 18:00:00+00:00,0.0,0.0,475.06868796651094,0.0,0.0,0.0,0.0,25.022947409386664,0.0,0.0,0.0,26.00688898305965,0.0,169.15992048893466,0.0,88.60993371110685,31.379552527816948,20.029015708578115,0.0,0.0,0.0,0.0,0.0,0.0,11.580821036364293,29.32792969110497,0.0,40.34731404616648,0.0,58.54928157152196,167.31384055380346,601.4890031943719,1287.024125992176,0.0,176.5823037332766,0.0,0.0,110.11771654298077,0.0,0.0,0.0,0.0,124.65797500112757,12.132741841712798,SE_3,2026-04-23
2026-01-01 19:00:00+00:00,0.0,0.0,589.1620406354095,0.0,0.0,21.474917171102117,0.0,23.01960716716214,0.0,0.0,0.0,12.681024123356874,0.0,160.5241166409972,0.0,104.56297906443639,46.02735816110892,17.828297037859528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.74183396611628,0.0,47.05545775278484,0.0,24.266199093807085,153.2241014183889,512.809978867438,1099.3060742684195,0.0,167.84953794906696,0.0,0.0,101.25171925928578,0.0,0.0,0.0,0.0,100.74359755005553,11.021159873204631,SE_3,2026-04-23
2026-01-01 20:00:00+00:00,0.0,0.0,407.7912287065851,0.0,0.0,17.5527666309673,0.0,0.0,0.0,0.0,0.0,1.115944762319571,0.0,153.11119461238908,0.0,54.55897921099046,41.02608747980801,8.92068651750772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.56738190857417,0.0,40.029708241480115,0.0,26.73594754453785,125.27854273246827,399.5027276455638,915.8553167091799,0.0,131.64987268088387,0.0,0.0,90.84230146468349,0.0,0.0,0.0,0.0,69.14184851268118,4.844464639379868,SE_3,2026-04-23
2026-01-01 21:00:00+00:00,0.0,0.0,274.80499611049606,0.0,0.0,7.673836186582615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.09872424268238,0.0,33.23568815830566,34.85192743377907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.827640746103402,0.0,20.181302785112006,0.0,12.589504414729015,82.51495568236666,267.60358458961485,583.9762935014055,0.0,87.1694230474406,0.0,0.0,65.15877125741704,0.0,0.0,0.0,0.0,45.72429548874317,3.2890563552224426,SE_3,2026-04-23
2026-01-01 22:00:00+00:00,0.0,0.0,163.5136976185866,0.0,0.0,5.992587191639316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5173665197362,0.0,21.459535538046396,31.606401040549216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1970838050284298,11.200585977587721,0.0,14.241843526889674,0.0,19.80499238019817,54.340566912093486,180.05261268207144,408.2648778011712,0.0,41.0768522863185,0.0,0.0,53.09004768408611,0.0,0.0,0.0,0.0,22.886000670984462,2.504948365013217,SE_3,2026-04-23
2026-01-01 23:00:00+00:00,0.0,55.0168964014186,0.0,0.0,0.0,18.04350513940834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.42852711686368,0.0,21.89012392344637,48.37062373721004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.535245244616164,12.988281057666487,0.0,0.0,0.0,0.0,89.43784850324322,280.4080502720663,803.1853274994436,0.0,0.0,0.0,0.0,47.36169186718634,0.0,0.0,5.27180108001918,0.0,27.29926651456826,3.812811642843537,SE_3,2026-04-23
2026-01-02 00:00:00+00:00,0.0,19.88198673537829,0.863723342651336,0.0,0.0,4.349938273405068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.96799521184927,0.0,6.410896931167555,15.77760949353641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.673921589866006,2.9019425477461134,0.0,1.2641381675880545,0.0,0.0,26.546275088146125,81.37059432504154,222.8993816508843,0.0,0.0,0.0,0.0,14.458032164485747,0.0,0.0,2.449346003602222,0.0,8.143605638575162,3.1406128360766603,SE_3,2026-04-23
2026-01-02 01:00:00+00:00,0.0,15.520710064673473,0.0,0.0,0.0,3.8506483410799786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.07568866355375,0.0,1.135501067339394,10.082731345236219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038680500692707,0.8175958961275958,0.0,0.7111152275932516,0.0,0.0,17.120115570390315,56.784054825546896,160.6321743482412,0.0,0.0,0.0,0.0,10.893960356028773,0.0,0.0,2.1998686571424484,0.0,6.072691323009992,3.464463813344095,SE_3,2026-04-23
2026-01-02 02:00:00+00:00,0.0,5.7203411625108584,0.0,0.0,0.0,0.8112337754342207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.828841160933509,0.0,0.0,3.308989483753249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683051973337609,0.6375492595449075,0.0,0.21977153419299256,0.0,0.0,5.741522201033945,18.485276623608726,54.252001894463355,0.0,0.0,0.0,0.0,4.402004109608394,0.0,0.0,0.0,0.0,2.1210253748635766,1.2883914467146516,SE_3,2026-04-23
2026-01-02 03:00:00+00:00,0.0,5.288131886330692,0.0,0.0,0.0,0.6190744498679898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.803912133001406,0.0,0.0,2.5483597169899443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963655913484479,0.5434642732063322,0.0,0.36540617799627945,0.0,0.0,5.541864672005017,16.559725423547853,45.55282829589663,0.0,0.0,0.0,0.0,4.2643623526755094,0.0,0.0,0.0,0.0,1.9786383261203913,1.012866701013699,SE_3,2026-04-23
